"","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","Peptococcaceae","Solibacteraceae_Subgroup_3_","Pseudomonadaceae","Kineosporiaceae","Sphingomonadaceae","Lactobacillaceae","Rhodospirillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","Burkholderiaceae","Family_XI","Leptotrichiaceae","Thermaceae","Coriobacteriaceae","Bacteroidaceae","Streptococcaceae","Peptostreptococcaceae","Rikenellaceae","Fusobacteriaceae","Caulobacteraceae","Bifidobacteriaceae","Porphyromonadaceae","NB1_n(order)","Actinomycetaceae","Family_XII","Defluviitaleaceae","Moraxellaceae","Oxalobacteraceae","Alicyclobacillaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Campylobacteraceae","MB_A2_108(class)","Methylobacteriaceae","Mollicutes_RF9(order)","Acidaminococcaceae","Bacteroidales_S24_7_group","SM2D12","Unknown_Family","Thermoanaerobacteraceae","Synergistaceae","vadinBE97","Microbacteriaceae","Neisseriaceae","Chitinophagaceae","Planctomycetaceae","Victivallaceae","env_OPS_17","Obscuribacterales(order)","Chloroplast(class)","Family_X","Staphylococcaceae","Rhodospirillales_Incertae_Sedis","Bacteriovoracaceae","Flavobacteriaceae","Pasteurellaceae","Aerococcaceae","Enterobacteriaceae","Acidobacteriaceae_Subgroup_1_","Xanthomonadaceae","Cytophagaceae","Thermoplasmatales_Incertae_Sedis","Leuconostocaceae","Verrucomicrobiaceae","Carnobacteriaceae","Methanobacteriaceae","uncultured","Bradyrhizobiaceae","Cellvibrionaceae"
"X206657",0.0,0.0033477363852232474,0.0,0.0012456693526412084,0.0,0.24905601619370157,0.0,0.001985285530771926,0.0,0.0003114173381603021,0.0,0.0,0.0,0.0034645178870333607,0.1450426252481607,0.00868075830121842,0.0002724901708902643,0.0008953248472108685,0.0002724901708902643,0.0,3.892716727003776e-05,0.0,7.785433454007552e-05,0.0003503445054303398,0.181439526645646,0.0016349410253415858,0.0007396161781307174,0.07575226750749348,0.0,0.0,0.0,0.011094242671960762,0.00015570866908015105,3.892716727003776e-05,0.0,7.785433454007552e-05,3.892716727003776e-05,0.0,0.0,0.0,0.01163922301374129,0.003970571061543852,0.0,0.0,0.0,0.0,0.004710187239674569,0.1418505975320176,0.0,0.0,0.00011678150181011328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.892716727003776e-05,0.0,0.0,0.0,0.0002724901708902643,3.892716727003776e-05,0.00023356300362022657,0.0,0.0,0.0,0.0,0.0,0.1509206275059364,7.785433454007552e-05,0.0,0.0,0.0,0.00011678150181011328
"X206658",6.121449559255632e-05,0.0053868756121449556,0.00018364348677766894,0.0017140058765915769,0.0010406464250734574,0.34420910871694416,0.0009182174338883448,0.002142507345739471,0.0,0.0013467189030362389,0.00018364348677766894,0.0003672869735553379,0.0,0.0004285014691478942,0.16852350636630753,0.007957884427032321,0.00018364348677766894,0.0008570029382957884,0.0002448579823702253,6.121449559255632e-05,0.0,0.0,0.0,0.00018364348677766894,0.10632957884427033,0.00116307541625857,0.00018364348677766894,0.06953966699314397,0.0,6.121449559255632e-05,0.0,0.006366307541625857,0.0,0.0,0.0008570029382957884,0.0003060724779627816,0.047502448579823706,0.0,0.0,0.004285014691478942,0.0012242899118511264,0.003672869735553379,0.0,0.0,0.0,0.0,0.005631733594515181,0.09843290891283056,0.0,0.0,6.121449559255632e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012242899118511264,0.0,0.0005509304603330069,0.0,0.0,0.0,0.0004285014691478942,0.0003060724779627816,0.0009794319294809011,0.0004285014691478942,0.0,0.0,0.0,0.0,0.11545053868756121,0.0,0.0,0.0,0.00012242899118511264,0.0
"X215004",0.0,0.0,0.0,0.0,0.0,0.12896825396825398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1865079365079365,0.003968253968253968,0.031746031746031744,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.3869047619047619,0.03968253968253968,0.0,0.001984126984126984,0.03373015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001984126984126984,0.0,0.0,0.0,0.09523809523809523,0.0,0.03968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.0,0.0,0.0
"X215003",0.000994530084535057,0.0002486325211337643,0.0069617105917454,0.0007458975634012929,0.0,0.2362008950770761,0.0,0.0,0.0,0.0002486325211337643,0.0,0.0,0.0,0.0,0.2006464445549478,0.018647439085032323,0.07434112381899552,0.006215813028344107,0.0,0.0,0.007458975634012929,0.0,0.0,0.00174042764793635,0.25932371954251615,0.024117354549975135,0.0022376926902038788,0.0034808552958727,0.001989060169070114,0.0,0.0007458975634012929,0.013426156141223273,0.0,0.0007458975634012929,0.0,0.0,0.0,0.00174042764793635,0.0,0.0,0.0002486325211337643,0.023868722028841372,0.0,0.0,0.0,0.0,0.004226752859273993,0.0,0.000994530084535057,0.0,0.0,0.0,0.0,0.0,0.012928891098955743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08254599701640974,0.0,0.01093983092988563,0.0,0.0,0.0,0.0,0.0,0.0,0.0012431626056688214,0.0,0.0,0.0007458975634012929,0.0
"X215008",0.0,0.00023207240659085636,0.0,0.0,0.0,0.12880018565792528,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.1111626827570202,0.02982130424692504,0.006962172197725691,0.0015084706428405662,0.0,0.0,0.0,0.0,0.0,0.0009282896263634254,0.6738222325365514,0.0011603620329542817,0.0,0.001972615456022279,0.00023207240659085636,0.0,0.0003481086098862845,0.003945230912044558,0.0,0.00011603620329542818,0.0,0.0,0.0,0.0,0.0,0.001392434439545138,0.0,0.0,0.0,0.0,0.0003481086098862845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023207240659085636,0.0,0.004177303318635414,0.0,0.024019494082153633,0.0,0.0,0.0,0.0,0.0,0.0016245068461359943,0.0,0.0,0.0,0.0,0.0
"X215007",0.0,0.0,0.0019233010840424291,0.0,0.0,0.17700198158293506,5.828185103158876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15025061195943584,0.02546916890080429,0.01322998018417065,0.0018650192330108403,0.0,0.0,0.00029140925515794383,0.0009907914675370089,0.0,0.0006993822123790652,0.5871896491432568,0.0016318918288844855,0.00040797295722112137,0.0012822007226949528,0.0005828185103158877,0.0,0.0001748455530947663,0.004837393635621867,0.0,0.00011656370206317752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.828185103158876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004662548082527101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.828185103158876e-05,0.0,0.0,0.0,0.0068189765706958855,0.0,0.01742627345844504,0.0,0.0,0.0,0.0,0.0,0.0068189765706958855,0.0003496911061895326,0.0,0.0,0.0,0.0
"X215010",0.0,0.018780499827475722,0.061320057179474544,0.0013801942130428353,0.0,0.3250850298220535,0.0,0.004781387095184108,0.0,0.003499778183072904,0.0,0.0,0.0,0.0,0.18888943658500518,0.011534480209000837,0.005570069502637157,0.004682801794252477,0.00044363385419233993,0.0,0.00024646325232907776,0.0,0.0,0.00024646325232907776,0.25163898062798834,0.0007886824074530487,0.0003450485532607088,0.02006210873958693,0.0,0.0,0.00019717060186326217,0.0358357568886479,0.0,0.0,0.0,0.0,4.9292650465815544e-05,0.0,0.0,0.0,0.013259722975304382,0.008872677083846798,0.000985853009316311,0.0,0.0,0.009168432986641691,0.004929265046581555,0.0,0.0,0.0,0.0,0.0007393897569872332,0.0,0.0,0.0,0.0,0.0,0.00019717060186326217,0.0,0.0,0.0,0.0,0.00019717060186326217,0.0,0.0,0.0,0.0004929265046581555,0.0,0.0012816089121112043,0.0,0.0,0.0,0.0,0.00014787795139744664,0.024202691378715432,0.00014787795139744664,0.0,0.0,0.0,0.0
"X215009",0.0,0.021478585849907642,0.04536277331500494,0.0007302719188968599,0.0,0.240001718286868,0.0,0.0035654452510846687,0.0,0.0036943167661841144,0.0,0.0,0.0,0.0,0.15834013488551912,0.01649555393272907,0.009235791915460286,0.005713303836075433,0.0008161862622964904,0.0,0.004037974139782637,0.0,0.0,0.001073929292495382,0.3385025129945444,0.032690407663559434,4.2957171699815284e-05,0.019287770093217062,0.00017182868679926113,0.0,0.00034365737359852227,0.0362558529146441,0.0,0.003436573735985223,0.0,0.0,0.0,0.0,0.0,0.00017182868679926113,0.013402637570342369,0.009235791915460286,0.0023626444434898405,0.0,0.0,0.007302719188968599,0.003909102624683191,0.0,0.0,0.0,4.2957171699815284e-05,0.00017182868679926113,0.0,0.0,0.0,0.0,0.0,0.00047252888869796813,0.0,0.0,4.2957171699815284e-05,0.0,0.0,0.00025774303019889173,0.0,0.0,0.007775248077666566,0.0,0.0011598436358950127,0.0,4.2957171699815284e-05,0.0,0.0,0.0,0.010524507066454745,0.0018471583830920572,0.0,0.0,0.0,0.0
"X215049",0.0,0.0,0.08741258741258741,0.0,0.0,0.05244755244755245,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04895104895104895,0.0034965034965034965,0.0944055944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0979020979020979,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055944055944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05944055944055944,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215048",0.0007899674138441789,0.002962377801915671,0.005924755603831342,0.0013824429742273132,0.0,0.24656857904611434,0.0,0.0,0.0004937296336526119,0.0,0.0,0.0,0.0,0.031401204700306114,0.21023007800928212,0.04236200256739409,0.0016786807544188801,0.0069122148711365655,0.00019749185346104473,0.0,0.0027648859484546264,0.0014811889009578355,0.0,0.0008887133405747013,0.25101214574898784,0.010072084526513281,0.0012836970474967907,0.015700602350153057,0.008294657845363878,0.0,0.0007899674138441789,0.04443566702873507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004246074849412462,0.0013824429742273132,0.0,0.0,0.005727263750370297,0.0034561074355682828,0.05510022711563148,0.0,0.0,0.0,0.0,0.0,0.0,0.012738224548237385,0.0,0.0002962377801915671,0.0,0.0007899674138441789,0.0,0.0,0.0,0.002666140021724104,0.0,0.0,0.0,0.02330403870840328,0.0,0.002172410388071492,0.0,0.0,0.0,0.0,0.0,9.874592673052236e-05,0.0,0.0,0.00039498370692208945,0.0,0.0
