"","Belnapia","Tepidimonas","Christensenellaceae_R_7_group","Prevotella","Family_XIII_AD3011_group","Paracoccus","Ruminiclostridium","Corynebacterium","Moraxella","Pseudomonas","Empedobacter","Mucilaginibacter","Sphingomonas","Lactobacillus","uncultured","Oscillibacter","Faecalibacterium","Lachnospiraceae_FCS020_group","Hungatella","Sutterella","Veillonella","Chryseobacterium","_Ruminococcus_gauvreauii_group","Ruminococcaceae_UCG_010","Faecalitalea","Clostridiales_vadinBB60_group(family)","Lactonifactor","Lachnospiraceae_UCG_001","Ruminococcaceae_UCG_003","Blautia","Burkholderia_Paraburkholderia","Gemella","Leptotrichia","Pedobacter","Thermus","Sphingobacterium","Senegalimassilia","Collinsella","Bacteroides","Porphyromonas","Butyricicoccus","Streptococcus","Flavobacterium","Intestinibacter","Paraprevotella","_Eubacterium_hallii_group","Ruminococcaceae_NK4A214_group","Alistipes","Fusobacterium","Bifidobacterium","Subdoligranulum","Coprococcus","Odoribacter","Abiotrophia","Actinomyces","Defluviitaleaceae_UCG_011","Acinetobacter","Anaerococcus","Ruminococcaceae_UCG_014","Roseburia","Treponema","Candidatus_Soleaferrea","Iamia","Ruminococcus","_Clostridium_innocuum_group","Massilia","Anaerotruncus","_Eubacterium_brachy_group","Romboutsia","Cellulomonas","Anaerofustis","Turicella","_Eubacterium_xylanophilum_group","Microbacter","Saccharomonospora","Lachnospiraceae_NK4A136_group","Peptococcus","Gordonibacter","Butyricimonas","Rothia","Solobacterium","Desulfovibrio","Formivibrio","Ruminococcaceae_UCG_013","Blastocatella","Atopobium","Coprobacter","Methylobacterium","0319_6A21(family)","Mollicutes_RF9(order)","Scardovia","Lachnoanaerobaculum","Phascolarctobacterium","Mycobacterium","Tumebacillus","Bacteroidales_S24_7_group(family)","Family_XIII_UCG_001","Tyzzerella","_Eubacterium_nodatum_group","H16","WCHA1_57(class)","Enhydrobacter","Erysipelatoclostridium","Parasutterella","Cnuella","Alloprevotella","Roseomonas","Selenomonas","Megasphaera","Dorea","Fastidiosipila","Paenibacillus","_Eubacterium_coprostanoligenes_group","Nocardioides","Family_XIII_UCG_002","Methanobacterium","Bacteriovorax","Eikenella","Solibacillus","Hydrotalea","Rhizobium","Fluviicola","env_OPS_17(family)","Knoellia","Ruminococcaceae_UCG_002","Candidatus_Tenderia","Barnesiella","Lentimicrobiaceae(family)","Lachnospiraceae(family)","Parvimonas","Lactococcus","Oribacterium","Peptostreptococcus","Lachnospiraceae_UCG_008","Chloroplast(class)","Acidovorax","Steroidobacter","Blastococcus","Dialister","Pyramidobacter","Chthoniobacter","Thermicanus","Rikenellaceae_RC9_gut_group","Staphylococcus","Anaerostipes","Acidaminococcus","Campylobacter","Lachnospira","Lachnoclostridium","Sellimonas","Cloacibacterium","Haemophilus","_Eubacterium_yurii_group","Aerococcus","X35(order)","Haliangium","Aggregatibacter","mle1_27(family)","PHOS_HE51(family)","Eubacterium","Stenotrophomonas","Methylophilus","Cytophaga","Ruminococcaceae_UCG_004","Proteus","Citrobacter","Butyrivibrio","Stomatobaculum","Parabacteroides","Proteiniphilum","Allisonella","Turicibacter","Finegoldia","Bacillus","Fusicatenibacter","Mogibacterium","Dielma","Johnsonella","Prevotellaceae_NK3B31_group","Catenibacterium","Weissella","Adlercreutzia","Pseudoclavibacter","Akkermansia","Flavonifractor","Eggerthella","Granulicatella","Candidatus_Stoquefichus","Adhaeribacter","Geobacillus","Lachnospiraceae_ND3007_group","Bilophila","Ruminococcaceae_UCG_005","Proteiniclasticum","Sphingobium","Methanobrevibacter","Facklamia","Aeromonas","Clostridium_sensu_stricto","Propionibacterium","Peptoniphilus","_Eubacterium_rectale_group","Succiniclasticum","Erythrobacter","Lachnospiraceae_UCG_010","Hafnia_Obesumbacterium","_Eubacterium_ventriosum_group","Varibaculum","NS9_marine_group(family)","Holdemania","Escherichia_Shigella","_Ruminococcus_gnavus_group","Megamonas","Pseudoxanthomonas","Lineage_IIb(order)","Acetanaerobacterium","Epulopiscium","Micrococcus","Oligoflexaceae(family)","_Eubacterium_eligens_group","Brachybacterium","Lawsonella","Erysipelotrichaceae_UCG_003","Lacibacter","Thermoanaerobacterium","Actinomycetospora"
"X206695",0.0,0.0,0.0,0.009316770186335404,0.0,0.0,0.0,0.004140786749482402,0.0,0.0010351966873706005,0.0,0.0,0.0,0.0,0.018633540372670808,0.0,0.08385093167701864,0.0,0.0,0.0,0.003105590062111801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010351966873706005,0.0,0.0,0.0,0.12836438923395446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009316770186335404,0.008281573498964804,0.0,0.0,0.0,0.0,0.0,0.0,0.017598343685300208,0.0010351966873706005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015527950310559006,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.015527950310559006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009316770186335404,0.028985507246376812,0.0,0.0,0.06832298136645963,0.051759834368530024,0.0,0.0,0.0,0.0010351966873706005,0.0,0.0,0.0,0.0,0.0010351966873706005,0.002070393374741201,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.009316770186335404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010351966873706005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010351966873706005,0.0,0.004140786749482402,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027950310559006212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40062111801242234,0.032091097308488616,0.0,0.0,0.0,0.0,0.0,0.009316770186335404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.0,0.0,0.0,6.633279161553514e-05,0.0,0.0,0.00023216477065437298,0.0,0.0,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.0009618254784252595,0.0,0.00016583197903883784,0.0,0.00016583197903883784,3.316639580776757e-05,0.03834035355377931,0.0,0.0,0.0,0.0034161387682000595,0.0,0.0,3.316639580776757e-05,0.0,0.0004974959371165135,0.0,0.00029849756226990815,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.0,0.20271301117707538,0.0,0.0,0.0025869788730058705,0.0,0.0038141355178932706,0.0,0.0,0.0,0.0,0.19193393253955093,0.0,0.0007296607077708865,0.0,0.0,3.316639580776757e-05,0.0,0.0,3.316639580776757e-05,0.005804119266359324,0.0,0.0,0.0,6.633279161553514e-05,0.0,0.0,0.004245298663394249,0.0,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012503731219528373,3.316639580776757e-05,0.0,0.0,0.0,0.0039468011011243405,0.016317866737421645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027528108520447083,0.0,0.0,0.0,0.0,0.0,0.0,3.316639580776757e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018241517694272164,0.0,0.0,0.0,0.0,0.015256542071573082,0.0,0.0,0.0,0.0,0.00013266558323107028,0.001691486186196146,0.0,0.002852310039468011,0.0,0.02514012802228782,0.0,0.0,0.04384597525786873,0.0,0.0,0.0,0.0,0.011077576199794369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.316639580776757e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016284700341613875,0.0,0.00029849756226990815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026964279791715035,0.0,0.0,0.04875460183741833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24662531922655964,0.06629962521972738,0.0,0.0,0.0,0.0,0.0008291598951941893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0045865924075514965,0.0,0.00040951717924566934,0.0,0.0,0.0,0.12383799500389041,0.0,0.0001228551537737008,0.0,0.0,0.0,0.0,0.0,0.0,0.025471968549080633,0.0,0.0001228551537737008,0.0,0.0,0.0,0.0,0.0,0.0,0.49563864204103364,8.190343584913388e-05,0.0,0.004177075228305827,0.0,0.00962365371227323,0.0,0.00016380687169826775,0.0,8.190343584913388e-05,4.095171792456694e-05,0.019820631475490395,0.011794094762275277,0.0,0.00020475858962283467,8.190343584913388e-05,0.0,0.0,0.0,0.0,0.0,0.07174740980384127,0.0,8.190343584913388e-05,0.0,0.0,0.012244563659445514,0.0,0.0,0.0,0.00020475858962283467,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.014251197837749294,0.0,0.0,0.0,0.0,0.008599860764159056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003685654613211024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.190343584913388e-05,0.0,0.0001228551537737008,0.0,0.0,0.0,0.0,0.0,0.0,8.190343584913388e-05,0.0,0.0,0.0,0.0,0.017691142143412917,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.05266390925099308,0.0,4.095171792456694e-05,0.0,0.007207502354723781,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0010647446660387403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033989925877390558,0.0,0.0,0.0,4.095171792456694e-05,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.001310454973586142,8.190343584913388e-05,0.005733240509439371,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.002498054793398583,0.0,0.0,0.04258978664154961,0.0,0.0,0.00016380687169826775,0.0,0.0,0.0,0.0,0.0,0.020230148654736067,0.04078791105286867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0
"X206758",0.0,0.0,0.0,0.0,0.0,0.0,7.15128544355848e-05,0.0,0.0,0.0001072692816533772,0.0,0.0,0.0,3.57564272177924e-05,0.00597132334537133,0.0,0.00032180784496013156,0.0,0.0,0.0,0.12950977938284405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023778024099831943,0.0,0.0016447956520184504,0.0,0.0,0.0,0.0,0.0,0.0,0.4378374512818679,0.0001430257088711696,0.0001072692816533772,0.007079772589122895,0.0,0.011871133836307076,0.0,0.0001430257088711696,0.0,7.15128544355848e-05,0.0002502949905245468,0.013337147352236565,0.015911610111917617,0.0,0.0,0.0001430257088711696,0.0002502949905245468,0.0,0.0001072692816533772,0.0,0.0,0.09053527371545035,0.0,7.15128544355848e-05,0.0,0.0,0.009904530339328494,0.0,0.0,7.15128544355848e-05,7.15128544355848e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,3.57564272177924e-05,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01909393213430114,0.0,0.0,0.0,0.0,0.005327707655451068,0.0,0.0,0.0,0.0,0.0,0.00039332069939571637,0.0,0.0,0.0,0.0006078592627024708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.15128544355848e-05,0.0,0.0,0.0,0.0,0.0001430257088711696,0.0001072692816533772,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.022347767011120248,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.023456216254871813,0.0,3.57564272177924e-05,0.0,0.009368183931061608,0.0001072692816533772,0.0,0.00017878213608896198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.001251474952622734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028247577502055993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019308470697607895,0.0004648335538313012,0.005685271927628991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010011799620981872,0.0,0.0,0.09443272428218973,0.0,0.0,3.57564272177924e-05,7.15128544355848e-05,0.0,0.0,0.0,0.0,0.01998784281474595,0.041513211999856976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.00048221174453493356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003214744963566224,0.0,0.0,0.0,0.0,0.0,0.0,0.0004286326618088298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.000589369909987141,0.0,0.0,0.0,0.0,0.0,0.0,0.0017145306472353193,0.0,5.357908272610373e-05,0.0003750535790827261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010715816545220746,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012858979854264896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010715816545220746,0.0,0.0009644234890698671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009108444063437634,0.0,5.357908272610373e-05,0.0001607372481783112,0.0,0.0,0.0,0.0,0.0,0.00026789541363051865,0.0,0.0,0.00010715816545220746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0003750535790827261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991266609515645,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0
"X206701",0.0,0.0016907270126154247,0.0,0.0007803355442840422,0.0,0.0,0.0,0.0011705033164260631,0.0,0.010534529847834569,0.0,0.0,0.0,0.0,0.0,0.0,0.001430615164520744,0.0,0.0,0.0,0.001040447392378723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005202236961893615,0.0,0.0,0.0,0.0036415658733255298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005072181037846274,0.00013005592404734037,0.00013005592404734037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026011184809468074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005202236961893615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002601118480946807,0.0016907270126154247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003901677721420211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015606710885680843,0.0,0.0,0.0,0.0,0.0,0.0,0.0013005592404734035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013005592404734037,0.0,0.0,0.0,0.0,0.0006502796202367018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013005592404734037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9638444531148394,0.0007803355442840422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.0,5.146945287971589e-05,0.0005661639816768747,0.0,0.0,0.0048381285706932935,0.00030881671727829536,0.0,5.146945287971589e-05,0.0,0.0,0.0,0.00036028617015801124,0.0033455144371815327,0.0,0.29105975603479334,0.0,0.0,0.0002573472643985794,0.0012352668691131814,0.0,5.146945287971589e-05,0.0,0.0,0.0,0.0,0.0,0.0014926141335117609,0.009367440424108291,0.0,0.0,0.00030881671727829536,0.0,0.0,0.0,0.0,5.146945287971589e-05,0.3216326110453446,5.146945287971589e-05,0.001389675227752329,0.0016984919450306244,0.0,0.0,0.0,0.02341860106027073,0.0,0.0,0.0008235112460754543,5.146945287971589e-05,0.01765402233774255,0.008338051366513975,0.0,0.0,0.0006691028874363066,0.0,0.0,0.0,0.0,0.009779196047146018,0.0,0.0,0.0,5.146945287971589e-05,0.0,0.00010293890575943178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024190642853466468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030881671727829535,0.00015440835863914768,0.0,0.0,0.0,0.0004117556230377271,0.012712954861289824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030881671727829536,0.0,0.0,0.0,0.0,0.0,0.0,0.00010293890575943178,0.0,0.0,0.00010293890575943178,0.0,0.0,0.0,0.00020587781151886356,5.146945287971589e-05,0.026300890421534818,0.0,0.00015440835863914768,0.0,0.0,0.0036028617015801123,0.0,0.0,0.0,0.0,0.0005146945287971588,0.050285655463482425,0.0,0.0,0.0,0.0063822121570847705,0.0,0.0,0.0007720417931957384,0.0,0.0,0.0,0.0,0.0005661639816768747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.146945287971589e-05,0.0,0.00010293890575943178,0.004786659117813578,0.0,0.0,0.0,0.0,0.0,0.0008749806989551701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011323279633537494,0.000463225075917443,0.0006176334345565907,0.0,0.0,0.0,0.0004117556230377271,0.001904369756549488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.146945287971589e-05,0.07432188995830974,0.0,0.0,0.000463225075917443,0.0,0.0,0.0,0.0,5.146945287971589e-05,0.000926450151834886,0.07715270986669412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.146945287971589e-05,0.0,0.0,0.029491996500077205,0.0,0.0,0.0
"X206709",0.0,9.138679460817912e-05,0.0,0.0002284669865204478,4.569339730408956e-05,0.0,0.0035640849897189855,0.0,0.0,4.569339730408956e-05,0.0,0.0,0.0,0.00018277358921635825,0.00616860863605209,0.0,0.23792551976239434,0.0,0.0,0.0,0.00013708019191226866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052090472926662095,0.0018734292894676719,0.0,4.569339730408956e-05,0.0,0.0,0.0,0.0,0.0,0.0003655471784327165,0.5333333333333333,0.00031985378112862694,0.001142334932602239,0.0006397075622572539,0.0,0.0,0.0,0.0083161983093443,0.0,0.0015992689056431345,0.0005026273703449851,9.138679460817912e-05,0.00923006625542609,0.005848754854923464,0.00031985378112862694,0.0,9.138679460817912e-05,0.0,0.0,0.00018277358921635825,0.0,0.006899702992917523,0.0,0.0,0.0,0.0,9.138679460817912e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005620287868403016,9.138679460817912e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.569339730408956e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205620287868403,0.0,0.0,0.0,0.0,0.0,0.0037925519762394334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013708019191226866,0.0,0.0,0.0,0.0,0.0,0.0,0.0007767877541695225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012245830477496002,0.0,0.0,0.0,0.0,0.00923006625542609,0.0,0.0,0.0,0.0,9.138679460817912e-05,0.013251085218185972,0.0,0.0,0.0,0.004569339730408956,0.0,0.0,0.0016906557002513136,0.0,0.0,0.0,0.0,9.138679460817912e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.138679460817912e-05,0.0,0.0,0.010966415352981495,0.0,0.0,0.0,4.569339730408956e-05,0.0,0.00041124057573680605,0.0,0.00013708019191226866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004340872743888508,0.0003655471784327165,0.0,0.0,0.0,0.0,0.00018277358921635825,0.014119259766963673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041124057573680605,0.036189170664838934,0.0,0.0,0.0013708019191226869,0.0,0.0,0.0,0.0,0.0,0.0018734292894676719,0.0266849440255883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006122915238748001,0.0,0.0,0.0
"X206746",0.0,0.0,0.0,0.0,4.1017227235438884e-05,0.0,0.0009433962264150943,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.0,0.014643150123051682,0.0,0.2694011484823626,0.0,0.0,0.0,0.005004101722723544,0.0,0.00024610336341263333,0.0,0.0,0.0,0.0,0.0,0.0,0.013002461033634127,0.0,0.000697292863002461,0.0,0.0,0.0,0.0,0.0,0.0,0.41111566858080395,0.0,0.00012305168170631667,0.006029532403609516,0.0,0.0,0.0,0.018252666119770302,0.0,0.0,0.001435602953240361,0.0005742411812961444,0.005127153404429861,0.001435602953240361,0.0,4.1017227235438884e-05,0.00012305168170631667,0.0,0.0,0.0,0.0,0.022641509433962263,0.0,8.203445447087777e-05,0.0,0.0,4.1017227235438884e-05,8.203445447087777e-05,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01173092698933552,0.0,0.0,0.0,0.00012305168170631667,0.00012305168170631667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.1017227235438884e-05,0.0,0.0,8.203445447087777e-05,0.0029122231337161608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004922067268252667,0.00016406890894175554,0.0,0.0,0.0,0.0,0.0,0.00024610336341263333,0.0,0.0,0.0,0.0,0.00012305168170631667,0.0,0.0,0.0,0.009803117309269893,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,8.203445447087777e-05,0.0420836751435603,0.0,0.00012305168170631667,0.0,0.00024610336341263333,0.0,0.0,0.030680885972108284,0.0,0.0,0.0,0.0,0.0005332239540607055,0.0,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.0,4.1017227235438884e-05,4.1017227235438884e-05,0.0,0.0015176374077112388,0.0,0.0,0.0,0.0,0.0,0.0027071369975389665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016406890894175554,0.00020508613617719443,0.0002871205906480722,0.00041017227235438887,0.0,0.0,0.0,0.00041017227235438887,0.007916324856439705,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.0,0.0,4.1017227235438884e-05,0.07350287120590648,8.203445447087777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00012305168170631667,0.0037325676784249386,0.015381460213289582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013125512715340444,0.0,0.0,0.0
"X206747",0.0,0.0,0.0,0.0,0.0,0.0,0.0007882705344474224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009249040937516422,0.0,0.2820431972252877,0.0,0.0,0.0,0.0029428766619370435,0.0,0.00010510273792632298,0.0,0.0,0.0,0.0,0.0,0.0,0.009406695044405907,0.0,0.0004204109517052919,0.0,0.0,0.0,0.0,0.0,5.255136896316149e-05,0.4493667560039939,0.0,0.00015765410688948448,0.0022597088654159442,0.0,0.0,0.0,0.01229702033737979,0.0,0.00010510273792632298,0.001996952020600137,0.0006831677965210993,0.004361763623942404,0.001944400651636975,0.0,0.00010510273792632298,5.255136896316149e-05,0.0,5.255136896316149e-05,0.0,0.0,0.011456198433969205,0.0,0.0,0.0,0.0,0.00010510273792632298,5.255136896316149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009406695044405907,0.0,0.0,0.0,0.00010510273792632298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010510273792632298,0.0,0.0028377739240107204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036785958274213043,0.0,0.0,0.0,0.0,0.0,0.0,0.00015765410688948448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010773030637448106,0.0,0.0,0.0,0.0,0.0052551368963161494,0.0,0.0,0.0,0.0,5.255136896316149e-05,0.02916600977455463,0.0,0.00010510273792632298,0.0,5.255136896316149e-05,0.0,0.0,0.023963424247201638,0.0,0.0,0.0,0.0,0.0005255136896316149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.255136896316149e-05,0.0,0.0,0.0,0.0012612328551158758,0.0,0.0,0.0,0.0,0.0,0.0059908560618004095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015765410688948448,0.00026275684481580743,0.0,0.0,0.0,0.00031530821377896896,0.00530768826527931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08912712176152189,5.255136896316149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00015765410688948448,0.0018918492826738137,0.015660307951022124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006884229334174155,0.0,0.0,0.0
