"","Betaproteobacteria","Clostridia","Bacteroidia","Alphaproteobacteria","Actinobacteria","Thermoleophilia","Gammaproteobacteria","Bacilli","Blastocatellia","Negativicutes","WCHB1_32","Fusobacteriia","Sphingobacteriia","Coriobacteriia","Flavobacteriia","Opitutae","Erysipelotrichia","Cytophagia","Melainabacteria","Deltaproteobacteria","Subgroup_6","Anaerolineae","Lentisphaeria","Thermomicrobia","Chloroplast","Epsilonproteobacteria","Bacteroidetes_vadinHA17","Verrucomicrobiae","uncultured","Methanobacteria","Gemmatimonadetes"
"X206713",0.0013353681800839375,0.2578214421976345,0.711131247615414,4.769172071728348e-05,0.001573826783670355,0.0,0.0006676840900419688,0.0014307516215185045,0.0,0.00643838229683327,0.0,0.005436856161770317,0.0,0.0006676840900419688,9.538344143456696e-05,0.0,0.0015261350629530714,0.0,0.0,0.011827546737886304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206712",0.0007361398665746492,0.37037037037037035,0.589602024384633,0.0,0.0030825856912813435,0.0,0.0011042097998619738,0.0013342535081665517,0.0,0.0051529790660225444,0.0,0.00676328502415459,0.0,0.0023464458247066944,0.0,0.0,0.008189556015642972,0.0,0.0,0.011180124223602485,0.0,0.0,0.0,0.0,0.0,0.00013802622498274673,0.0,0.0,0.0,0.0,0.0
"X206732",0.015115830942491328,0.3752836894617394,0.5619834710743802,0.0,0.014644799383376868,0.0,0.0035541472187727487,0.00017128420331434933,0.0,0.014987367790005566,0.0,0.00034256840662869867,0.0,0.00042821050828587335,4.282105082858733e-05,0.0,0.00449621033700167,0.0,0.0,0.006166231319316576,0.0,0.0,0.002697726202201002,0.0,0.0,0.0,0.0,0.0,0.0,8.564210165717467e-05,0.0
"X206731",0.01069345430978613,0.4293178872326636,0.5051847051198963,0.0,0.015999675955930007,0.0,0.0016607258587167854,0.012880751782242385,0.0,0.011868114063512637,0.0,0.0,0.0,0.0004050550874918989,0.0,0.0,0.006156837329876863,0.0,0.0,0.004617627997407648,0.0,0.0,0.001093648736228127,0.0,0.0,0.0,0.0,0.0,0.0,0.00012151652624756967,0.0
"X206754",0.021601436944602006,0.4795802609188883,0.363112119493288,0.002883342786916241,0.013754963131026659,0.00014180374361883155,0.03048780487804878,0.004017772735866894,0.00018907165815844205,0.009169975420684439,0.0,0.026611835885800718,0.0,0.00557761391567404,0.0,4.726791453961051e-05,0.03393836263944035,0.00018907165815844205,0.0,0.007515598411798071,0.0003781433163168841,0.0,0.0,0.00018907165815844205,4.726791453961051e-05,0.0,0.0,0.00023633957269805257,0.0,0.00033087540177727357,0.0
"X206762",0.0023946360153256703,0.4634219348659004,0.35614224137931033,0.0,0.0061661877394636015,0.0,0.12314415708812261,0.0020354406130268198,0.0,0.02490421455938697,0.0,0.0006585249042145594,5.986590038314176e-05,0.0028735632183908046,0.0028735632183908046,0.0,0.01532567049808429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206761",0.002001959364484389,0.3366273373940452,0.5366102994420071,0.0,0.004600247050304553,0.0,0.08898070451931678,0.002001959364484389,0.0,0.019806619244366826,0.0,0.0005111385611449503,0.0,0.003918728968777953,0.0,0.0,0.004941006091067853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206770",0.017589001113714045,0.5358116671147125,0.40493106494104997,0.0011521179768808325,0.0033411421329544145,0.0,0.006221437075156496,0.001267329774568916,3.840393256269442e-05,0.012097238757248743,7.680786512538885e-05,7.680786512538885e-05,0.0001920196628134721,0.000998502246630055,0.0001536157302507777,0.0,0.008717692691731633,0.0004224432581896386,0.0,0.006912707861284995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224330",0.05561932089909134,0.3924438067910091,0.49971305595408894,0.0,0.008464849354375897,0.0,0.0028694404591104736,0.002965088474414156,0.0,0.023194643711142993,0.0,0.0,0.0,0.0024868483978957435,0.004973696795791487,0.0,0.005691056910569106,0.0,0.0,0.0,0.0,0.00014347202295552367,0.0,0.0,0.0,0.0,0.0005738880918220947,0.0001912960306073649,0.00028694404591104734,0.0,0.0003825920612147298
"X224325",0.03006565204416592,0.3016263801850194,0.5408460161145927,3.730229782154581e-05,0.0010071620411817369,0.0,0.04901521933751119,0.009400179051029543,0.0,0.026484631453297523,0.0,0.000783348254252462,0.0,0.0004849298716800955,0.0,0.0,0.0041778573560131305,0.0,0.0,0.035660996717397794,0.0,0.0,0.0,0.0,0.0,0.00041032527603700387,0.0,0.0,0.0,0.0,0.0
