"","Burkholderiales","Clostridiales","Bacteroidales","Run_SP154","Corynebacteriales","Pseudomonadales","Micrococcales","Lactobacillales","Rhodospirillales","Selenomonadales","Flavobacteriales","Erysipelotrichales","Bacillales","Fusobacteriales","Bifidobacteriales","Thermales","Sphingobacteriales","Coriobacteriales","Actinomycetales","Rhizobiales","Gastranaerophilales","Desulfovibrionales","Subgroup_6(class)","Synergistales","Mollicutes_RF9","Micromonosporales","Methanobacteriales","Neisseriales","Cardiobacteriales","Caulobacterales","Chloroplast(class)","Campylobacterales","Deinococcales","Pasteurellales","Enterobacteriales","Myxococcales","Xanthomonadales","Bdellovibrionales","Solirubrobacterales","Blastocatellales","Verrucomicrobiales","Thermoanaerobacterales"
"X206703",0.00887452248016456,0.34728181016749926,0.5416985013223626,0.0,0.0,0.00023508668821627975,5.877167205406994e-05,0.00993241257713782,0.0,0.035733176608874526,0.0,0.0011754334410813989,0.0006464883925947693,0.000999118424919189,0.0006464883925947693,0.0,0.0,0.0003526300323244196,5.877167205406994e-05,0.00023508668821627975,0.0,0.007170143990596532,0.0,0.0,0.0,0.0,0.0,0.00023508668821627975,5.877167205406994e-05,0.0,0.0,0.0,0.0,0.034087569791360565,0.008404349103732,0.0,0.0,0.0,0.0,0.0,0.002115780193946518,0.0
"X206752",0.0069265924021708085,0.3949585832619252,0.4647957726363896,0.0,3.570408454727221e-05,0.0002499285918309055,0.0,0.018209083119108824,3.570408454727221e-05,0.05580548414738646,0.0,0.001570979720079977,3.570408454727221e-05,0.00021422450728363326,0.0013210511282490717,0.0,0.0,0.00017852042273636104,3.570408454727221e-05,0.0,0.0,0.0057483576121108255,0.0,0.0,0.001178234790059983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014638674664381604,0.00032133676092544985,0.0,0.0,0.0,0.0,0.0,0.04691516709511568,0.0
"X206710",0.0,0.5187714918272175,0.38640538885486836,0.0,0.0,0.00028263224833953557,4.710537472325592e-05,0.006688963210702341,0.0,0.05049696170333035,0.0,0.015921616656460504,0.0023081633614395404,0.0005181591219558152,0.006265014838193038,0.0,0.0,0.003909746102030241,4.710537472325592e-05,0.0,0.0,0.007112911583211644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010834236186348862,0.00014131612416976778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.003715630418627694,0.4649492197176121,0.5189497151350012,0.0,0.0,0.0,0.0,0.0004954173891503591,0.0,0.0026628684666831805,0.0,0.005016101065147387,0.00012385434728758978,0.0,0.0003715630418627694,0.0,6.192717364379489e-05,6.192717364379489e-05,6.192717364379489e-05,0.0,0.0,0.002972504334902155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030963586821897447,0.0001857815209313847,0.0,0.0,0.0,0.0,0.0,6.192717364379489e-05,0.0
"X206725",0.0,0.6570279010303076,0.30048131157403923,0.0,0.0,0.0,0.0,0.00026321726705271864,0.0,0.007294878544032489,0.0,0.0034594269384071595,3.760246672181695e-05,0.020568549296833872,0.00018801233360908476,0.0,0.0,7.52049334436339e-05,0.0,0.0,0.0,0.00018801233360908476,0.0,0.0,0.0,0.0,0.0,0.00011280740016545086,0.0,0.0,0.0,0.0009024592013236069,0.0,0.00011280740016545086,0.009287809280288786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206729",0.0002631232732535193,0.4292198394948033,0.0658465991316932,0.0,0.0006578081831337982,0.0004604657281936587,0.0002631232732535193,0.10248651493224575,0.0,0.05512432574661229,0.0009867122747006974,0.0030916984607288513,0.008551506380739376,0.01124851993158795,0.0,0.0003946849098802789,0.0,0.004736218918563347,0.0041441915537429284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018418629127746348,0.0,0.0,0.0,0.0005920273648204184,0.0,0.0005920273648204184,0.3093014077095119,0.0,0.0,0.00019734245494013944,0.0,0.0,0.0,0.0
"X206738",0.020594059405940595,0.6386421499292786,0.26489391796322487,0.0,0.0,0.0016407355021216406,0.0,0.013578500707213578,0.0,0.029306930693069305,0.0002263083451202263,0.005714285714285714,0.005544554455445544,0.0013578500707213579,0.002772277227722772,0.00016973125884016973,0.0,0.0009618104667609618,0.0,0.0006223479490806223,0.0,0.0063932107496463934,0.0,0.0005657708628005657,0.0,0.0,0.0,0.0,0.0,5.6577086280056576e-05,0.0007920792079207921,0.0,0.0,0.0034512022630834513,0.0020933521923620934,0.0,0.00039603960396039607,0.0,0.00011315417256011315,0.0,0.00011315417256011315,0.0
"X206740",0.01804657968540422,0.48494086087062555,0.46561394951835144,0.0,0.0,0.0009145226191927813,0.0,0.0011583953176441898,0.0,0.014144616510181686,0.0,0.002011949762224119,0.00036580904767711256,0.0005487135715156688,0.0014632361907084503,0.0,0.0,0.0007316180953542251,0.0,0.0,0.0,0.007377149128155103,0.0,0.0,0.0,0.0,0.0,0.00012193634922570419,0.0,0.0,6.0968174612852094e-05,0.0,0.0,6.0968174612852094e-05,0.0024387269845140835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206743",0.009357666087987467,0.22454164373121058,0.6732015073887454,0.00012702714146589321,0.00016936952195452428,0.00021171190244315537,0.000592793326840835,0.013718931278316467,8.468476097726214e-05,0.02172164119066774,0.00033873904390904855,0.0008891899902612525,0.000635135707329466,0.0018630647414997672,0.000592793326840835,0.0,0.0003810814243976796,0.0013549561756361942,0.0003810814243976796,0.0,0.0,0.0032603632976245926,0.0,0.0,0.0,0.0,0.0009738747512385147,0.0,0.0,0.0,0.0,0.0,8.468476097726214e-05,8.468476097726214e-05,0.0014396409366134563,0.00012702714146589321,0.00021171190244315537,0.0,0.0,0.0003810814243976796,0.04327391285938095,0.0
"X224323",0.04550510668419456,0.3784508039235514,0.48993831529982806,0.0,0.0,5.056122964910506e-05,5.056122964910506e-05,0.0072808170694711296,0.0,0.018151481444028717,5.056122964910506e-05,0.0019718879563150977,0.00025280614824552534,0.0004044898371928405,0.000758418444736576,0.0,0.00010112245929821013,0.00025280614824552534,0.0001516836889473152,0.0,0.0,0.0017190818080695723,0.0,0.0,0.0,5.056122964910506e-05,0.0,0.0,0.0,0.0,0.0,5.056122964910506e-05,0.0,0.0006572959854383659,0.05410051572454242,0.0,0.0,0.0,0.0,0.0,5.056122964910506e-05,0.0
