"","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Ruminococcaceae","Corynebacteriaceae","Peptococcaceae","Pseudomonadaceae","Sphingomonadaceae","Lactobacillaceae","Rhodospirillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Family_XI","Leptotrichiaceae","Sphingobacteriaceae","Coriobacteriaceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Flavobacteriaceae","Peptostreptococcaceae","Rikenellaceae","Fusobacteriaceae","Caulobacteraceae","Bifidobacteriaceae","Actinomycetaceae","Defluviitaleaceae","Moraxellaceae","Oxalobacteraceae","Cellulomonadaceae","Micrococcaceae","Desulfovibrionaceae","Blastocatellaceae_Subgroup_4_","Methylobacteriaceae","Mollicutes_RF9(order)","Erythrobacteraceae","Acidaminococcaceae","Bacteroidales_S24_7_group","Anaerolineaceae","Chromatiaceae","OPB56","Nocardiaceae","Methanobacteriaceae","Neisseriaceae","Rhizobiaceae","uncultured","Intrasporangiaceae","Xanthobacteraceae","Streptomycetaceae","Chloroplast(class)","Geodermatophilaceae","Family_X","Staphylococcaceae","Campylobacteraceae","Pasteurellaceae","Aerococcaceae","ML635J_21(class)","Enterobacteriaceae","Microbacteriaceae","Verrucomicrobiaceae","Carnobacteriaceae","TK10(class)","Aeromonadaceae","Clostridiaceae_1","Propionibacteriaceae","Bogoriellaceae","Acetobacteraceae","Hyphomicrobiaceae","Rhodobacteraceae","Bradyrhizobiaceae","Cellvibrionaceae"
"X206620",0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.1774193548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935483870967744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206623",0.0,0.0,0.0,0.0,0.0,0.2932692307692308,0.0,0.052884615384615384,0.0,0.0,0.0,0.004807692307692308,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.014423076923076924,0.07692307692307693,0.0,0.2980769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.13942307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206627",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5476190476190477,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206629",0.0,0.0,0.0,0.0,0.09160467587672688,0.005951115834218916,0.0,0.002975557917109458,0.004038257173219979,0.0004250797024442083,0.0,0.61211477151966,0.022741764080765142,0.005313496280552604,0.05058448459086079,0.010839532412327312,0.0,0.0,0.0004250797024442083,0.07927736450584484,0.001487778958554729,0.005526036131774708,0.0,0.0,0.0,0.005951115834218916,0.002975557917109458,0.005313496280552604,0.0,0.0,0.0076514346439957494,0.0,0.0,0.0025504782146652497,0.0,0.0,0.004888416578108395,0.0,0.0,0.009351753453772583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002975557917109458,0.0,0.00021253985122210415,0.0,0.0,0.0,0.0,0.016153028692879916,0.0,0.016790648246546226,0.0,0.0,0.028267800212539853,0.0,0.0,0.0006376195536663124,0.0,0.0,0.0,0.0,0.0,0.0004250797024442083,0.0,0.0,0.0025504782146652497,0.0
"X206635",0.0,0.002163981726376533,0.0,0.000721327242125511,0.5473270818305682,4.0073735673639494e-05,0.000561032299430953,0.0,0.0,0.0012022120702091848,0.0,0.1844594053057626,0.014987577141941173,0.006772461328845075,0.0028452352328284043,8.014747134727899e-05,8.014747134727899e-05,0.0,4.0073735673639494e-05,0.19027009697844033,0.0,0.013424701450669232,0.0,0.0012022120702091848,0.000881622184820069,0.00012022120702091849,0.0,0.021880259677807164,8.014747134727899e-05,8.014747134727899e-05,4.0073735673639494e-05,0.0,0.0,0.0,0.0009216959204937084,0.0,0.0,0.0,0.0,0.00561032299430953,0.0,0.0,8.014747134727899e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0073735673639494e-05,0.0,0.000881622184820069,0.0,0.0,0.0023643504047447302,0.0,0.0005209585637573135,0.00024044241404183698,0.0,0.0,8.014747134727899e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206643",0.0,0.0,0.0,0.0011703606173652256,0.08324189891010167,0.0005120327700972862,0.0,7.31475385853266e-05,0.0,0.0,0.0001462950771706532,0.44561480506180967,0.0,0.0019018360032184917,0.01441006510130934,0.0008046229244385927,0.0,0.0,0.00021944261575597982,0.38863287250384027,0.0,0.00731475385853266,0.0,0.0012435081559505523,0.0001462950771706532,0.0,0.0,0.0005851803086826128,7.31475385853266e-05,0.0,0.0013898032331212055,0.000365737692926633,0.0,0.00043888523151195964,0.0,0.0,0.0005851803086826128,0.0,0.0,0.0,0.0005851803086826128,0.0,0.0,0.0001462950771706532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001462950771706532,0.0,0.03247750713188501,0.00021944261575597982,0.0,0.016897081413210446,0.0,0.0,0.0002925901543413064,0.00021944261575597982,0.0,0.0001462950771706532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206669",0.0,0.0,0.0,0.0,0.02127659574468085,0.0851063829787234,0.0,0.5106382978723404,0.0,0.0,0.0,0.0425531914893617,0.0,0.02127659574468085,0.010638297872340425,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05319148936170213,0.0,0.010638297872340425,0.0,0.02127659574468085,0.09574468085106383,0.0,0.07446808510638298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206675",0.0,0.0,0.00025316455696202533,0.002531645569620253,0.32354430379746835,0.0,0.0007594936708860759,0.0037974683544303796,0.0,0.002278481012658228,0.0,0.2691139240506329,0.015443037974683544,0.0015189873417721519,0.006329113924050633,0.007594936708860759,0.0,0.0,0.0012658227848101266,0.2478481012658228,0.0030379746835443038,0.004050632911392405,0.0,0.0005063291139240507,0.05721518987341772,0.0,0.0007594936708860759,0.0,0.0,0.0,0.0,0.0,0.00025316455696202533,0.0005063291139240507,0.0017721518987341772,0.0,0.0,0.0027848101265822785,0.0,0.01949367088607595,0.0,0.0010126582278481013,0.0,0.0,0.0,0.0005063291139240507,0.0015189873417721519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007594936708860759,0.0005063291139240507,0.0,0.0,0.0,0.0,0.011139240506329114,0.0,0.0,0.0017721518987341772,0.0,0.0,0.008354430379746836,0.0,0.0012658227848101266,0.0,0.0,0.0,0.0,0.0005063291139240507
"X206677",0.0002584647195657793,0.0,0.0015507883173946756,0.0027138795554406824,0.2526492633755492,0.0,0.0,0.004264667872835358,0.0006461617989144482,0.0,0.0,0.25626776944947016,0.0002584647195657793,0.013827862496769192,0.012147841819591625,0.005040062031532695,0.0,0.0060739209097958125,0.00012923235978288964,0.13194623933833033,0.00361850607392091,0.02894804859136728,0.0012923235978288964,0.0,0.0,0.005427759110881365,0.0,0.0,0.00012923235978288964,0.0,0.0,0.0012923235978288964,0.0,0.002455414835874903,0.0,0.0027138795554406824,0.0,0.0,0.0027138795554406824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008658568105453606,0.006720082708710261,0.0,0.0002584647195657793,0.0,0.0002584647195657793,0.0,0.0005169294391315585,0.0,0.00012923235978288964,0.002455414835874903,0.16619281468079608,0.0,0.00361850607392091,0.07224088911863531,0.00012923235978288964,0.00012923235978288964,0.0016800206771775653,0.0,0.00012923235978288964,0.0,0.0,0.0,0.0,0.0002584647195657793,0.0002584647195657793,0.0,0.0
"X206683",4.3533150494101256e-05,0.0,0.0,0.0003047320534587088,0.3668973923642854,0.0,0.001349527665317139,0.0005659309564233164,0.0,0.0,0.0,0.2178398850724827,0.018806321013451744,0.0001305994514823038,0.011536284880936833,0.0003047320534587088,0.0,0.0,0.0018719254712463542,0.36202167950894604,0.0,0.002350790126681468,0.0,0.001697792869269949,0.00021766575247050628,0.0,0.0,0.0009577293108702277,0.00017413260197640502,0.0,0.00021766575247050628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007748900787950024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.706630098820251e-05,0.0,0.0022637238256932655,0.0,0.0,0.00034826520395281004,0.0,0.0,0.0022637238256932655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
