"","Acetobacteraceae","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Pasteurellaceae","Corynebacteriaceae","Peptococcaceae","Pseudomonadaceae","Sphingomonadaceae","Lactobacillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","DA101_soil_group","Family_XI","Coriobacteriaceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Leuconostocaceae","Rikenellaceae","Opitutaceae","Fusobacteriaceae","Bifidobacteriaceae","Aerococcaceae","Actinomycetaceae","Moraxellaceae","Oxalobacteraceae","Thermaceae","Eubacteriaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Mollicutes_RF9(order)","Acidaminococcaceae","Bacteroidales_S24_7_group","Unknown_Family","OPB35_soil_group(class)","Synergistaceae","NS11_12_marine_group","Neisseriaceae","Chitinophagaceae","Rhizobiaceae","Chloroplast(class)","Staphylococcaceae","Campylobacteraceae","Coxiellaceae","Flavobacteriaceae","Leptotrichiaceae","Brevibacteriaceae","Methylophilaceae","Cytophagaceae","Enterobacteriaceae","Anaeroplasmataceae","Microbacteriaceae","Verrucomicrobiaceae","Carnobacteriaceae","Helicobacteraceae","Candidatus_Nomurabacteria(class)","Methanobacteriaceae","Clostridiaceae_1","Subgroup_2(class)","Rhodocyclaceae","Dermabacteraceae"
"X206628",0.0,0.0,0.07467532467532467,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.1331168831168831,0.0,0.016233766233766232,0.21428571428571427,0.0,0.0,0.0,0.0,0.016233766233766232,0.01948051948051948,0.05844155844155844,0.0,0.0,0.03571428571428571,0.0,0.006493506493506494,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.0008663008951775916,0.0,0.0010106843777071904,0.0004331504475887958,0.00014438348252959862,0.0,0.09615939936471268,0.00822985850418712,0.005342188853595149,0.0,0.00014438348252959862,0.0,0.0,0.48094138030609296,0.01891423621137742,0.0031764366156511693,0.05111175281547791,0.0,0.0,0.006352873231302339,0.005919722783713543,0.2777938203869477,0.0017326017903551833,0.00014438348252959862,0.0,0.0,0.0008663008951775916,0.0,0.004764654923476754,0.006064106266243142,0.0,0.0,0.0,0.0,0.0010106843777071904,0.0,0.0007219174126479931,0.0010106843777071904,0.0,0.0,0.009818076812012706,0.0014438348252959862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014438348252959862,0.0,0.0,0.0015882183078255846,0.0,0.0,0.0,0.0,0.007507941091539128,0.0008663008951775916,0.0020213687554143807,0.0,0.0024545192030031764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206636",0.0,0.0,0.014598540145985401,0.0,0.0,0.0,0.34124087591240876,0.0,0.0,0.0,0.0,0.0,0.0,0.31386861313868614,0.05291970802919708,0.0072992700729927005,0.010948905109489052,0.0,0.0,0.0,0.0,0.1259124087591241,0.0,0.023722627737226276,0.0,0.0,0.0,0.0,0.0,0.03467153284671533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.020072992700729927,0.0,0.0,0.0,0.0,0.0,0.01824817518248175,0.0,0.0,0.0,0.023722627737226276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005474452554744526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206644",0.0,0.0,0.0005102908657935023,0.0,0.0010205817315870045,0.0,0.06837897601632931,0.014628338152747066,0.0,0.0,0.0,0.0,0.0,0.38594999149515224,0.0,0.0023813573737030106,0.014118047286953563,0.0,0.0,0.0,0.00017009695526450075,0.49141010375914274,0.0,0.0008504847763225039,0.0005102908657935023,0.0,0.0003401939105290015,0.0,0.0,0.0,0.0,0.0,0.00017009695526450075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005102908657935023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010205817315870045,0.0003401939105290015,0.0,0.0,0.0,0.0,0.0,0.0,0.017179792481714577,0.0,0.0,0.0005102908657935023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206670",0.0,0.0003748687959214275,0.002549107812265707,3.748687959214275e-05,0.0012370670265407107,0.0,0.24265257159994003,0.0002249212775528565,0.0,0.0002249212775528565,0.00011246063877642825,0.0,0.0,0.23170640275903434,0.0299895036737142,0.0390238416554206,0.014507422402159244,0.000149947518368571,0.0,3.748687959214275e-05,0.00011246063877642825,0.3013195381616434,0.0,0.0012370670265407107,0.00026240815714499927,0.0,0.0620782726045884,0.0,0.00041235567551357026,0.0005248163142899985,0.0,0.0,3.748687959214275e-05,0.0,0.0,0.00033738191632928474,3.748687959214275e-05,0.0014619883040935672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011246063877642825,0.0,0.0,0.06923826660668767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206678",0.0,0.0008260561718196837,0.0,0.0002360160490913382,0.003422232711824404,0.0,0.21111635591220204,0.032216190700967665,0.0,0.0,0.00129808827000236,0.0018881283927307056,0.0,0.3345527495869719,0.0002360160490913382,0.0029502006136417278,0.017583195657304696,0.0,0.0,0.00035402407363700734,0.00660844937455747,0.3029265990087326,0.016639131460939344,0.013688930847297616,0.0029502006136417278,0.0,0.0001180080245456691,0.0,0.0,0.0,0.0,0.0005900401227283455,0.001180080245456691,0.00035402407363700734,0.0,0.0,0.001062072220911022,0.0,0.0002360160490913382,0.0,0.0,0.0,0.0005900401227283455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002360160490913382,0.0,0.0,0.0,0.0,0.0,0.0,0.0016521123436393675,0.04083077649280151,0.0,0.0,0.00035402407363700734,0.0028321925890960587,0.0,0.0,0.0,0.0,0.0,0.0004720320981826764,0.0
"X206684",0.0,0.0,0.0001321178491214163,0.00039635354736424893,0.0002642356982428326,8.80785660809442e-05,0.33487470823974985,0.0018496498876998282,0.0,0.0015413749064165235,4.40392830404721e-05,0.0,0.0,0.16598405777953934,0.04875148632580262,8.80785660809442e-05,0.0017175320385784119,0.0001761571321618884,0.0,0.0033029462280354076,0.0003082749812833047,0.4202668780552253,0.0002201964152023605,0.002201964152023605,0.0009248249438499141,0.0,0.0003082749812833047,0.0,0.0,0.001321178491214163,0.0,0.0,8.80785660809442e-05,0.0,0.0,0.0,0.0002642356982428326,0.0,0.0,0.0,0.014709120535517681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001321178491214163,0.0,0.0,0.0,4.40392830404721e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206572",0.0,7.052186177715091e-05,0.0,0.0,0.0,0.0,0.04978843441466855,0.03596614950634697,0.0004231311706629055,0.0,0.0,0.0,0.0,0.14802538787023978,0.0,0.003455571227080395,0.004724964739069111,0.0,0.0,0.0004231311706629055,0.00014104372355430183,0.32447108603667135,0.0009873060648801129,0.002256699576868829,0.0,0.0,0.0,0.0,0.004301833568406206,0.0,0.0,0.0006346967559943583,7.052186177715091e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028208744710860365,0.0,0.0,0.00021156558533145275,0.0,0.00028208744710860365,0.0,0.0,0.0,0.0,0.0004231311706629055,0.0,0.0,0.42235543018335686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007052186177715092,0.0,0.0,0.0
"X215062",0.0,0.0,0.01996113760819643,0.10121886592474828,0.005652711535064477,0.0,0.26541247129482426,0.0,0.0,0.002208090443384561,0.01086380498145204,0.0,0.0,0.21639286345168698,0.005122769828652182,0.04442677972089737,0.0028263557675322383,0.0001766472354707649,0.0,0.0,0.0013248542660307366,0.04760642995937114,0.010598834128245893,0.0011482070305599717,0.0009715597950892068,0.0,0.0069775658010952125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026497085320614734,0.0005299417064122947,0.011305423070128953,0.0022964140611199434,0.04592828122239887,0.0,0.0,0.0,0.0012365306482953543,0.0,0.0,0.0,0.0,0.0,8.832361773538245e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1795619148560325,0.0,0.0,0.00759583112524289,0.0,0.0,0.0003532944709415298,0.006270976859212153,0.0016781487369722664,0.0,0.0,0.0
"X215080",0.0,9.699791454483729e-05,0.00024249478636209323,0.005383384257238469,0.0,0.0,0.129055725301906,0.006062369659052331,0.0,0.00029099374363451185,0.0030554343081623746,0.0,0.0085843154372181,0.2011251758087201,0.004801396769969445,0.022988505747126436,0.011736747659925311,9.699791454483729e-05,0.00014549687181725592,0.0,0.000678985401813861,0.23793588437848587,0.00965129249721131,0.01285222367719094,0.016974635045346523,4.8498957272418644e-05,0.028323391047092486,0.00029099374363451185,0.0014549687181725592,0.03394927009069305,4.8498957272418644e-05,0.00048498957272418645,9.699791454483729e-05,0.0,0.0,0.00048498957272418645,0.0028129395218002813,0.0,0.00014549687181725592,0.0003394927009069305,0.001648964547262234,0.0018429603763519084,0.0,0.00024249478636209323,0.0,0.0,9.699791454483729e-05,4.8498957272418644e-05,0.0,0.0009214801881759542,0.002182453077258839,0.000533488529996605,9.699791454483729e-05,0.0,0.00043649061545176777,0.0,9.699791454483729e-05,4.8498957272418644e-05,0.192540860371502,0.0,0.0,0.02405548280711965,0.0143071923953635,0.0003394927009069305,0.0,0.0,0.020175566225326156,9.699791454483729e-05,0.0,4.8498957272418644e-05
