"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Acidobacteria","Verrucomicrobia","Fusobacteria","Deinococcus_Thermus","Cyanobacteria","Tenericutes","Chloroflexi","Chlorobi","Synergistetes","Tectomicrobia","Euryarchaeota","Planctomycetes","Parcubacteria"
"X206621",0.17647058823529413,0.14705882352941177,0.6764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206622",0.015557762330354188,0.4139357828533598,0.5642171466401854,0.0023171135385633896,0.0026481297583581596,0.0,0.0,0.0,0.0006620324395895399,0.0,0.0,0.0,0.0,0.0,0.0,0.0006620324395895399,0.0
"X206620",0.41935483870967744,0.3387096774193548,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206624",0.41899441340782123,0.13966480446927373,0.0935754189944134,0.276536312849162,0.008379888268156424,0.0,0.0,0.0,0.06284916201117319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206623",0.19230769230769232,0.125,0.3894230769230769,0.2932692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206626",0.14782608695652175,0.7260869565217392,0.06956521739130435,0.004347826086956522,0.0,0.05217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206625",0.08408408408408409,0.360960960960961,0.5519519519519519,0.0024024024024024023,0.0,0.0006006006006006006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206628",0.4090909090909091,0.5,0.07467532467532467,0.006493506493506494,0.0,0.0,0.006493506493506494,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206627",0.9285714285714286,0.0,0.023809523809523808,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.035662720184810856,0.6527577245163153,0.2838579266531909,0.020069304071614207,0.0,0.0,0.004764654923476754,0.0010106843777071904,0.0010106843777071904,0.0008663008951775916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
