"","Proteobacteria","Bacteroidetes","Firmicutes","Actinobacteria","Acidobacteria","Deinococcus_Thermus","Tenericutes","Cyanobacteria","Synergistetes","Fusobacteria","Lentisphaerae","Planctomycetes","Chloroflexi","Euryarchaeota","Verrucomicrobia","Latescibacteria"
"X206657",0.0170890264315,0.410136634357,0.409591654015,0.0003892716727,0.0,7.78543345401e-05,0.00015570866908,0.0116392230137,0.0,0.0,0.0,0.0,0.0,0.0,0.150920627506,0.0
"X206658",0.0640303623898,0.280852105779,0.532321253673,0.00557051909892,0.000428501469148,0.0,0.0,0.00134671890304,0.0,0.0,0.0,0.0,0.0,0.0,0.115450538688,0.0
"X206704",0.0861910676675,0.289301722741,0.617648647189,0.00356429227197,0.0,0.0,0.0,0.0,0.0,0.00108008856726,0.0,0.0,0.0,0.0,0.00221418156289,0.0
"X206703",0.0593006171026,0.541698501322,0.394769321187,0.00111666176903,0.0,0.0,0.0,0.0,0.0,0.000999118424919,0.0,0.0,0.0,0.0,0.00211578019395,0.0
"X206753",0.0205098493627,0.395403630745,0.565855542681,0.00200849748938,0.0,0.0,0.00135187331016,3.86249517188e-05,0.0,0.000231749710313,0.0,0.0,0.0,0.0,0.0146002317497,0.0
"X206752",0.014745786918,0.464795772636,0.470579834333,0.00157097972008,0.0,0.0,0.00117823479006,0.0,0.0,0.000214224507284,0.0,0.0,0.0,0.0,0.0469151670951,0.0
"X206711",0.00320471179247,0.341388419731,0.649430514053,0.005673206011,0.0,0.0,0.0,0.0,0.0,0.000259841496687,0.0,0.0,0.0,0.0,4.33069161145e-05,0.0
"X206710",0.00862028357436,0.386405388855,0.594187196759,0.0102689716897,0.0,0.0,0.0,0.0,0.0,0.000518159121956,0.0,0.0,0.0,0.0,0.0,0.0
"X206719",0.0134136443248,0.494852407194,0.490196078431,0.00153787004998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.00718355214268,0.519011642309,0.473247460986,0.00049541738915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736438e-05,0.0
"X206726",0.00656519193778,0.424144852388,0.559504892532,0.000794513673998,0.0,0.0,0.0,0.0,0.0,0.00899054946893,0.0,0.0,0.0,0.0,0.0,0.0
"X206725",0.0106038956156,0.300481311574,0.668083026247,0.000263217267053,0.0,0.0,0.0,0.0,0.0,0.0205685492968,0.0,0.0,0.0,0.0,0.0,0.0
"X206730",0.489768443726,0.266962843296,0.238422186322,0.00215401184707,0.0,0.0,0.0,0.0,0.0,0.00188476036618,0.0,0.0,0.000538502961766,0.0,0.0,0.000269251480883
"X206729",0.313248256808,0.0668333114064,0.598473885015,0.00980134192869,0.0,0.00039468490988,0.0,0.0,0.0,0.0112485199316,0.0,0.0,0.0,0.0,0.0,0.0
"X206739",0.0190738782293,0.264050460795,0.711323462759,0.00517449765826,0.0,0.0,0.0,0.0,0.0,0.000302160447197,0.0,0.0,0.0,0.0,7.55401117994e-05,0.0
"X206738",0.0352475247525,0.265120226308,0.692786421499,0.00384724186704,0.0,0.00016973125884,0.0,0.000792079207921,0.000565770862801,0.00135785007072,0.0,0.0,0.0,0.0,0.00011315417256,0.0
"X206741",0.0290697674419,0.428670600486,0.540610898993,0.00143179451579,0.0,8.67754251996e-05,0.0,0.0,0.0,0.000130163137799,0.0,0.0,0.0,0.0,0.0,0.0
"X206740",0.0289598829411,0.465613949518,0.502621631508,0.00219485428606,0.0,0.0,0.0,6.09681746129e-05,0.0,0.000548713571516,0.0,0.0,0.0,0.0,0.0,0.0
"X206742",0.014827628815,0.530705548004,0.412702335352,0.00185345360188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00185345360188,0.0380575806252,0.0
"X206743",0.014904517932,0.673921327857,0.261506541898,0.00309099377567,0.000381081424398,8.46847609773e-05,0.0,0.0,0.0,0.0018630647415,0.0,0.0,0.0,0.000973874751239,0.0432739128594,0.0
"X224324",0.132317493113,0.621986914601,0.244404269972,0.00107610192837,0.0,0.0,0.0,0.0,0.0,0.000215220385675,0.0,0.0,0.0,0.0,0.0,0.0
"X224323",0.102083122662,0.490089998989,0.406107796542,0.00126403074123,0.0,0.0,0.0,0.0,0.0,0.000404489837193,0.0,0.0,0.0,0.0,5.05612296491e-05,0.0
"X215004",0.166666666667,0.388888888889,0.39880952381,0.0119047619048,0.0,0.0,0.0,0.0,0.0,0.0337301587302,0.0,0.0,0.0,0.0,0.0,0.0
"X215003",0.153654898061,0.283192441571,0.557682744903,0.00323222277474,0.0,0.0,0.0,0.000248632521134,0.0,0.00198906016907,0.0,0.0,0.0,0.0,0.0,0.0
"X215008",0.0657925272685,0.679740078905,0.249825945695,0.00278486887909,0.0,0.0,0.0,0.0,0.0,0.000232072406591,0.0,0.0,0.0,0.0,0.00162450684614,0.0
"X215007",0.0502389555892,0.595232544586,0.345086839958,0.00104907331857,0.0,0.0,0.0,0.0,0.0,0.00157360997785,0.0,0.0,0.0,0.0,0.0068189765707,0.0
"X215010",0.0267166165525,0.368856903436,0.556415438458,0.000443633854192,0.0,0.0,0.00916843298664,0.0132597229753,0.000739389756987,0.0,0.000197170601863,0.0,0.0,0.0,0.0242026913787,0.0
"X215009",0.0410240989733,0.439408909317,0.482451995361,0.00502598908888,0.0,0.0,0.00730271918897,0.013445594742,0.000171828686799,0.000171828686799,0.000472528888698,0.0,0.0,0.0,0.0105245070665,0.0
"X215049",0.118881118881,0.321678321678,0.195804195804,0.363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215048",0.118791349857,0.372963365261,0.49017478029,0.00167868075442,0.000493729633653,0.0,0.00572726375037,0.0,0.0,0.00977584674632,0.0,0.000296237780192,0.0,0.0,9.87459267305e-05,0.0
"X215056",0.0749698470133,0.180664000508,0.647495715102,0.00336443851965,0.0,0.0,0.0,0.00139655938551,0.0,0.0146638735479,0.0,0.0,0.0,0.000888719608963,0.076556846315,0.0
"X215055",0.0836122400191,0.340485297633,0.536815682525,0.00549844609132,0.0,0.0,0.0,0.00167344011475,0.0,0.0103992349988,0.000478125747071,0.0,0.0,0.000358594310304,0.0206789385608,0.0
"X215058",0.113295113295,0.258872508873,0.602921102921,0.000819000819001,0.0,0.0,0.0042315042315,0.00034125034125,0.00020475020475,0.0,0.00102375102375,0.0,0.0,0.00047775047775,0.0178132678133,0.0
"X215057",0.0969244754185,0.384970835543,0.50325732899,0.00075751836982,0.0,0.0,0.00321945307174,0.0,7.5751836982e-05,7.5751836982e-05,0.000340883266419,0.0,0.0,0.000492386940383,0.00988561472616,0.0
"X215074",0.0390191031026,0.312694756808,0.622137921691,0.00772253082238,0.0,0.0,0.00596125186289,0.0,0.0,0.000677414984419,0.0,0.0,0.0,0.0,0.0117870207289,0.0
"X215077",0.0307114044738,0.37962962963,0.567519251925,0.00430876420975,0.0,0.0,0.00160432709938,0.000137513751375,0.0,0.000412541254125,0.0,0.0,0.0,0.0,0.0156765676568,0.0
"X222170",0.0453266182788,0.73781661976,0.215079247519,0.0017775144423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X222171",0.0528355945058,0.668071121598,0.276649532317,0.00185388050897,0.0,0.0,0.0,0.0,0.0,0.0,0.000589871071037,0.0,0.0,0.0,0.0,0.0
"X224844",0.0718817984046,0.286439448876,0.634427121102,0.00534807831762,0.0,0.0,0.0,0.0,0.0,0.00190355329949,0.0,0.0,0.0,0.0,0.0,0.0
"X224845",0.0407763366614,0.269431743958,0.687132593076,0.00139964542316,0.0,0.0,0.0,0.0,0.0,0.00125968088084,0.0,0.0,0.0,0.0,0.0,0.0
"X219652",0.0144892184603,0.20514196507,0.703190555176,0.0649819494585,0.000146355742024,0.0,0.0,0.0106839691677,0.0,4.87852473412e-05,0.0,0.0,0.0,0.0,0.00131720167821,0.0
"X219651",0.0120140445873,0.227336181734,0.721392613901,0.0276238419561,0.0,0.0,0.0,0.0111679851094,0.0,4.23029738991e-05,0.0,0.0,0.0,0.0,0.000423029738991,0.0
"X219656",0.0424706482899,0.300561510975,0.650740173558,0.00224604389995,0.0,0.0,0.0,0.0,0.0,0.00102092904543,0.0,0.0,0.0,0.0,0.00296069423175,0.0
"X219655",0.0198598695337,0.136796327615,0.840251268422,0.000676491906258,0.0,0.0,0.0,0.0,0.0,0.00115970041073,0.0,0.0,0.0,0.0,0.00125634211162,0.0
"X219657",0.114271429365,0.016999055608,0.86767401811,0.00105549691684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219658",0.295528898582,0.0,0.691384950927,0.0109051254089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00218102508179,0.0
