"","Betaproteobacteria","Bacteroidia","Clostridia","Alphaproteobacteria","Gammaproteobacteria","Actinobacteria","Solibacteres","Negativicutes","Erysipelotrichia","Bacilli","Sphingobacteriia","Coriobacteriia","Deinococci","Mollicutes","Flavobacteriia","Melainabacteria","Epsilonproteobacteria","Synergistia","MB_A2_108","Fusobacteriia","Subgroup_6","Lentisphaeria","Planctomycetacia","Thermomicrobia","Deltaproteobacteria","Chloroplast","Thermoplasmata","Methanobacteria","Thermoleophilia","Blastocatellia","Verrucomicrobiae","Cytophagia","Latescibacteria(phylum)","Acidobacteria","Verrucomicrobia_Incertae_Sedis"
"X206657",0.00868075830122,0.410136634357,0.401884074896,0.00346451788703,0.000973179181751,3.892716727e-05,0.0,0.00498267741056,0.000895324847211,0.00182957686169,0.0,0.00035034450543,7.78543345401e-05,0.00015570866908,0.0,0.0116392230137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00397057106154,0.0,0.0,0.0,0.0,0.0,0.150920627506,0.0,0.0,0.0,0.0
"X206658",0.00808031341822,0.280852105779,0.52277179236,0.00202007835455,0.0502571008815,0.00538687561214,0.0,0.00581537708129,0.000857002938296,0.00287708129285,0.0,0.000183643486778,0.0,0.0,0.0,0.00122428991185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00367286973555,0.000122428991185,0.0,0.0,0.0,0.0,0.115450538688,0.0,0.0,0.000428501469148,0.0
"X206704",0.0204136739213,0.289301722741,0.538640168494,0.0,0.0624291191878,0.00232219041961,0.0,0.0575147162067,0.00108008856726,0.0204136739213,0.0,0.00124210185235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00108008856726,0.0,0.0,0.0,0.0,0.00334827455851,0.0,0.0,0.0,0.0,0.0,0.00221418156289,0.0,0.0,0.0,0.0
"X206703",0.00910960916838,0.541698501322,0.347281810167,0.000235086688216,0.0427857772554,0.000764031736703,0.0,0.0357331766089,0.00117543344108,0.0105789009697,0.0,0.000352630032324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000999118424919,0.0,0.0,0.0,0.0,0.0071701439906,0.0,0.0,0.0,0.0,0.0,0.00211578019395,0.0,0.0,0.0,0.0
"X206753",0.00911548860564,0.395403630745,0.503398995751,3.86249517188e-05,0.00220162224797,0.0018539976825,0.0,0.0493626882966,0.00119737350328,0.0118964851294,0.0,0.000154499806875,0.0,0.00135187331016,0.0,0.0,0.0,0.0,0.0,0.000231749710313,0.0,0.0,0.0,0.0,0.00915411355736,3.86249517188e-05,0.0,0.0,0.0,0.0,0.0146002317497,0.0,0.0,0.0,0.0
"X206752",0.00692659240217,0.464795772636,0.394958583262,3.57040845473e-05,0.00203513281919,0.00139245929734,0.0,0.0558054841474,0.00157097972008,0.0182447872037,0.0,0.000178520422736,0.0,0.00117823479006,0.0,0.0,0.0,0.0,0.0,0.000214224507284,0.0,0.0,0.0,0.0,0.00574835761211,0.0,0.0,0.0,0.0,0.0,0.0469151670951,0.0,0.0,0.0,0.0
"X206711",0.000129920748344,0.341388419731,0.57935992378,0.0,0.000952752154519,0.00290156337967,0.0,0.0469446970681,0.0217400718895,0.00138582131566,0.0,0.00277164263133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000259841496687,0.0,0.0,0.0,0.0,0.00212203888961,0.0,0.0,0.0,0.0,0.0,4.33069161145e-05,0.0,0.0,0.0,0.0
"X206710",0.0,0.386405388855,0.518771491827,0.0,0.00150737199114,0.00635922558764,0.0,0.0504969617033,0.0159216166565,0.00899712657214,0.0,0.00390974610203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000518159121956,0.0,0.0,0.0,0.0,0.00711291158321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206719",0.00452817292494,0.494766969969,0.472937758982,0.0,0.00081165363749,0.00111068392499,0.0,0.00440001708745,0.0127728651373,8.54372249989e-05,0.0,0.000427186124995,0.0,0.0,8.54372249989e-05,0.0,4.27186124995e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080310991499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.00371563041863,0.518949715135,0.464949219718,0.0,0.00049541738915,0.000433490215507,0.0,0.00266286846668,0.00501610106515,0.000619271736438,6.19271736438e-05,6.19271736438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029725043349,0.0,0.0,0.0,0.0,0.0,6.19271736438e-05,0.0,0.0,0.0,0.0
"X206726",0.000125449527473,0.424144852388,0.538513004934,0.0,0.00518524713557,0.000585431128209,0.0,0.013255833403,0.00735970561178,0.00037634858242,0.0,0.000209082545789,0.0,0.0,0.0,0.0,0.000585431128209,0.0,0.0,0.00899054946893,0.0,0.0,0.0,0.0,0.000669064146525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206725",0.000112807400165,0.300481311574,0.65702790103,0.0,0.00940061668045,0.000188012333609,0.0,0.00729487854403,0.00345942693841,0.000300819733775,0.0,7.52049334436e-05,0.0,0.0,0.0,0.0,0.000902459201324,0.0,0.0,0.0205685492968,0.0,0.0,0.0,0.0,0.000188012333609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206730",0.000134625740442,0.266020463113,0.220516962843,0.0,0.488691437803,0.00188476036618,0.0,0.000673128702208,0.0114431879375,0.00578890683899,0.000942380183091,0.000269251480883,0.0,0.0,0.0,0.0,0.000942380183091,0.0,0.0,0.00188476036618,0.0,0.0,0.0,0.000538502961766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269251480883,0.0,0.0
"X206729",0.00210498618603,0.0658465991317,0.429219839495,0.0,0.310353900803,0.00506512301013,0.0,0.0551243257466,0.00309169846073,0.111038021313,0.0,0.00473621891856,0.00039468490988,0.0,0.000986712274701,0.0,0.00059202736482,0.0,0.0,0.0112485199316,0.0,0.0,0.0,0.0,0.00019734245494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206739",0.0137105302916,0.264012690739,0.677821423176,3.77700558997e-05,0.00203958301858,0.00460794681976,0.0,0.0138993805711,0.0185073273908,0.00109533162109,0.0,0.000566550838495,0.0,0.0,0.0,0.0,7.55401117994e-05,0.0,0.0,0.000302160447197,0.0,0.0,0.0,0.0,0.00321045475147,0.0,0.0,0.0,0.0,0.0,7.55401117994e-05,3.77700558997e-05,0.0,0.0,0.0
"X206738",0.0205940594059,0.264893917963,0.638642149929,0.000678925035361,0.00758132956153,0.00277227722772,0.0,0.0293069306931,0.00571428571429,0.0191230551627,0.0,0.000961810466761,0.00016973125884,0.0,0.00022630834512,0.0,0.0,0.000565770862801,0.0,0.00135785007072,0.0,0.0,0.0,0.0,0.00639321074965,0.000792079207921,0.0,0.0,0.00011315417256,0.0,0.00011315417256,0.0,0.0,0.0,0.0
"X206741",0.0171815341895,0.428670600486,0.527768136064,0.000130163137799,0.000911141964596,0.00134501909059,0.0,0.0111506421381,0.000737591114196,0.000954529677195,0.0,8.67754251996e-05,8.67754251996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000130163137799,0.0,0.0,0.0,0.0,0.0108469281499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206740",0.0181685160346,0.465613949518,0.484940860871,0.0,0.00341421777832,0.00146323619071,0.0,0.0141446165102,0.00201194976222,0.00152420436532,0.0,0.000731618095354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000548713571516,0.0,0.0,0.0,0.0,0.00737714912816,6.09681746129e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206742",0.0111207216113,0.530705548004,0.355698340129,4.11878578195e-05,0.00181226574406,0.00156513859714,0.0,0.0386753984925,0.00115326001895,0.0171753367107,0.0,0.000288315004737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00185345360188,0.0,0.0,0.00185345360188,0.0,0.0,0.0380575806252,0.0,0.0,0.0,0.0
"X206743",0.00935766608799,0.673201507389,0.224541643731,8.46847609773e-05,0.00207477664394,0.00173603760003,0.0,0.0217216411907,0.000889189990261,0.0143540669856,0.000381081424398,0.00135495617564,8.46847609773e-05,0.0,0.000338739043909,0.0,0.0,0.0,0.0,0.0018630647415,0.0,0.0,0.0,0.0,0.00338739043909,0.0,0.0,0.000973874751239,0.0,0.000381081424398,0.0432739128594,0.0,0.0,0.0,0.0
