"","Proteobacteria","Bacteroidetes","Firmicutes","Actinobacteria","Deinococcus_Thermus","Acidobacteria","Spirochaetae","Nitrospirae","WSA2","Fusobacteria","Synergistetes","Verrucomicrobia","Euryarchaeota","Cyanobacteria","Tenericutes","Elusimicrobia"
"X206695",0.458592132505,0.138716356108,0.313664596273,0.0258799171843,0.00103519668737,0.0,0.0,0.0,0.0,0.00931677018634,0.0,0.00103519668737,0.0,0.0517598343685,0.0,0.0
"X206700",0.307386156346,0.202779343969,0.297767901562,6.63327916155e-05,0.0,0.0,0.0,0.0,0.0,0.192000265331,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0214996519104,0.496171014374,0.462344895368,0.0199434866293,0.0,0.0,0.0,0.0,0.0,4.09517179246e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X206758",0.0217756641756,0.438051989845,0.525798262238,0.014123788751,0.0,0.0,0.0,0.0,0.0,0.000250294990525,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.992445349336,0.00487569652808,0.00262537505358,5.35790827261e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.97685004552,0.00572246065808,0.0100143061516,0.00182078293666,0.000520223696189,0.0,0.0,0.0,0.0,0.00507218103785,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.00818364300787,0.327603067579,0.661536877863,0.00154408358639,0.0,0.0,0.0,0.0,0.0,0.00113232796335,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.0387023075166,0.546767192141,0.413114005026,0.000913867946082,0.0,0.0,0.0,0.0,0.0,0.000502627370345,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.043724364233,0.412674323216,0.540894175554,0.00110746513536,0.0,0.0,0.0,0.0,0.0,0.00143560295324,0.0,0.000164068908942,0.0,0.0,0.0,0.0
"X206747",0.0323190919123,0.450733091597,0.513899837091,0.00105102737926,0.0,0.0,0.0,0.0,0.0,0.0019969520206,0.0,0.0,0.0,0.0,0.0,0.0
"X206720",0.0574737842084,0.578720450144,0.360773137491,0.0011326683474,0.0,0.0,0.0,0.0,0.0,0.00189995980854,0.0,0.0,0.0,0.0,0.0,0.0
"X206721",0.0601399809902,0.609133327573,0.327745614793,0.000648060139981,0.0,0.0,0.0,0.0,0.0,0.00233301650393,0.0,0.0,0.0,0.0,0.0,0.0
"X206723",0.814814814815,0.037037037037,0.148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206724",0.541256016502,0.164985865994,0.287722515089,0.00045840018336,0.0,0.0,0.0001910000764,0.0,0.0,0.00538620215448,0.0,0.0,0.0,0.0,0.0,0.0
"X206728",0.058564670505,0.249954160402,0.661997139609,0.000916791961568,3.66716784627e-05,0.0,0.0,0.0,0.0,0.028530565844,0.0,0.0,0.0,0.0,0.0,0.0
"X206727",0.123252181202,0.290280793996,0.561359393454,0.00106678858536,0.0,0.0,0.0,0.0,0.0,0.024040842763,0.0,0.0,0.0,0.0,0.0,0.0
"X206734",0.102073565967,0.681004373682,0.207608319436,0.000881029545955,0.0,0.0,0.0,0.0,0.0,0.00843271136843,0.0,0.0,0.0,0.0,0.0,0.0
"X206733",0.0532347258312,0.712439203145,0.228462922247,0.000932773669132,0.0,0.0,0.0,0.0,0.0,0.00489706176294,0.0,3.33133453261e-05,0.0,0.0,0.0,0.0
"X206750",0.0361773766029,0.527150942045,0.434665807006,0.00171932086826,0.0,0.0,0.0,0.0,0.0,3.58191847554e-05,3.58191847554e-05,0.000179095923777,0.0,0.0,3.58191847554e-05,0.0
"X206751",0.0302076777848,0.475849590938,0.493431403398,0.000196664568911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000117998741347,0.000157331655129,0.0,3.93329137823e-05,0.0
"X206756",0.11662552141,0.505746147953,0.366263726909,0.000468204647995,0.0,0.0,0.0,0.0,0.0,0.000212820294543,0.0,0.0106835787861,0.0,0.0,0.0,0.0
"X206755",0.0732584451269,0.408356230807,0.508404719573,0.000525294973331,0.0,0.0,0.0,0.0,0.0,0.000161629222563,0.0,0.0092936802974,0.0,0.0,0.0,0.0
"X206767",0.12432246408,0.518196678999,0.326421749978,0.00146261722447,0.0,0.0,0.0,0.0,0.0,0.0295964897187,0.0,0.0,0.0,0.0,0.0,0.0
"X206766",0.0336387598845,0.549056524832,0.40069453161,0.000962302832517,0.0,0.0,0.0,0.0,0.0,0.0155642023346,0.0,0.0,0.0,0.0,0.0,8.36785071754e-05
"X206769",0.767527675277,0.0147601476015,0.169741697417,0.0479704797048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206768",0.656236030398,0.0393383996424,0.25748770675,0.0254805543138,0.0,0.0,0.0,0.00178810907465,0.00447027268663,0.0116227089852,0.0,0.0,0.00178810907465,0.00178810907465,0.0,0.0
"X224327",0.161515019591,0.457074444928,0.370787984327,0.0104919460165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000130605137135,0.0,0.0,0.0,0.0
"X224328",0.154225432863,0.483239689638,0.353667392883,0.00871459694989,0.0,0.0,0.0,0.0,0.0,0.000152887665788,0.0,0.0,0.0,0.0,0.0,0.0
"X219633",0.0140480591497,0.140418977203,0.844547134935,0.000800985828712,0.0,0.0,0.0,0.0,0.0,0.000184842883549,0.0,0.0,0.0,0.0,0.0,0.0
"X219634",0.0195361145704,0.0832814445828,0.893135118306,0.00311332503113,0.0,0.0,0.0,0.0,0.0,0.00093399750934,0.0,0.0,0.0,0.0,0.0,0.0
"X219637",0.325,0.525,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219638",0.0240685589254,0.0926882635386,0.864158512125,0.0126420713548,0.0,0.0,0.0,0.0,0.0,0.0064425940558,0.0,0.0,0.0,0.0,0.0,0.0
"X219659",0.0630110630111,0.289562289562,0.387686387686,0.0894660894661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164502164502,0.00577200577201,0.0,0.0,0.0
"X219653",0.0941511387164,0.294875776398,0.523861283644,0.00165631469979,0.0,0.0,0.0,0.0,0.0,0.0212732919255,0.0,0.0551759834369,0.00900621118012,0.0,0.0,0.0
"X219654",0.0492739534601,0.176924479008,0.642566377058,0.0151892581566,0.0,0.0,0.0,0.0,0.0,0.00528586183851,0.0,0.0974542803329,0.0133057901452,0.0,0.0,0.0
"X219693",0.0323472823473,0.0484607984608,0.915584415584,0.00348725348725,0.00012025012025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
