"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Fusobacteria","Deinococcus_Thermus","Verrucomicrobia","Cyanobacteria","Acidobacteria","Synergistetes","Nitrospirae","Tenericutes","Lentisphaerae","Parcubacteria","Euryarchaeota"
"X206615",0.0336950314106225,0.5922330097087378,0.36550542547115933,0.0030458785455929945,0.003997715591090805,0.0,0.0015229392727964973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206619",0.013975155279503106,0.5192546583850932,0.4608695652173913,0.002484472049689441,0.0034161490683229812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206646",0.013894183928495785,0.6392595416613717,0.34176303638751215,0.004659634854068708,0.00029652221798619053,0.0,4.236031685517008e-05,8.472063371034016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206648",0.11809914931064829,0.5272513933704899,0.3543561161630977,0.0002933411557641537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206656",0.05011520737327189,0.6209677419354839,0.27419354838709675,0.0034562211981566822,0.0293778801843318,0.0034562211981566822,0.004032258064516129,0.0,0.0,0.0,0.010944700460829493,0.0,0.0,0.0034562211981566822,0.0
"X206660",0.06453555477492849,0.4752346063130426,0.4279118783559994,0.0005018316856526321,0.019671802077583178,0.0,0.008480955487529482,0.0011542128770010538,0.0,0.0023084257540021075,0.0,0.0,0.00020073267426105285,0.0,0.0
"X206668",0.11822660098522167,0.3891625615763547,0.39080459770114945,0.10180623973727422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206672",0.26724821570182394,0.22098863335976737,0.49325931800158607,0.00361265309718918,0.014714952859282756,0.0,0.0,0.0001762269803506917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206673",0.02722323049001815,0.4200055842524082,0.47410302945693145,0.0014658662571548234,0.0,0.0,0.07720228954348736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206682",0.04645476772616137,0.8264058679706602,0.07334963325183375,0.029339853300733496,0.0,0.0,0.02444987775061125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206695",0.458592132505176,0.3136645962732919,0.13871635610766045,0.025879917184265012,0.009316770186335404,0.0010351966873706005,0.0010351966873706005,0.051759834368530024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.3073861563463898,0.2977679015621372,0.20277934396869093,6.633279161553514e-05,0.19200026533116646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.02149965191039764,0.4623448953683607,0.496171014374053,0.0199434866292641,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.9768500455195734,0.010014306151645207,0.005722460658082976,0.0018207829366627649,0.005072181037846274,0.0005202236961893615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.03870230751656386,0.4131140050262737,0.5467671921407357,0.0009138679460817912,0.0005026273703449851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.03231909191234432,0.5138998370907563,0.4507330915970361,0.0010510273792632297,0.001996952020600137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206720",0.057473784208410976,0.3607731374913223,0.5787204501443238,0.0011326683474003434,0.0018999598085425117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206723",0.8148148148148148,0.14814814814814814,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206727",0.12325218120166115,0.56135939345449,0.29028079399550427,0.0010667885853621365,0.024040842762982437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206734",0.10207356596708725,0.20760831943614108,0.6810043736823889,0.0008810295459551305,0.008432711368427676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206751",0.030207677784770296,0.4934314033983638,0.4758495909376967,0.00019666456891126495,0.0,0.0,0.00011799874134675897,0.0,0.0,0.0,0.0,3.933291378225299e-05,0.0,0.0,0.00015733165512901197
"X206755",0.07325844512687894,0.5084047195732988,0.40835623080652983,0.0005252949733311783,0.00016162922256343946,0.0,0.00929368029739777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206767",0.1243224640798417,0.32642174997849094,0.5181966789985374,0.0014626172244687258,0.029596489718661276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206769",0.7675276752767528,0.16974169741697417,0.014760147601476014,0.04797047970479705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224328",0.15422543286320375,0.35366739288307913,0.4832396896380384,0.008714596949891068,0.00015288766578756258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206538",0.283250113481616,0.22900590104403087,0.4417839310031775,0.004198819791193827,0.04005901044030867,0.0,0.0,0.0014752610077167498,0.0,0.0,0.00022696323195642307,0.0,0.0,0.0,0.0
"X215050",0.08803535010197144,0.4784160435078178,0.37754928619986405,0.0559993201903467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206548",0.4616991643454039,0.5120705663881151,0.012999071494893221,0.001160631383472609,0.011142061281337047,0.0,0.0,0.0006963788300835655,0.0,0.00023212627669452182,0.0,0.0,0.0,0.0,0.0
"X206562",0.058260005676979844,0.6094947487936417,0.28704229349985805,0.0004967357365881351,0.0,0.0,7.09622480840193e-05,0.0444933295486801,0.0,0.0,0.0,0.0,0.0001419244961680386,0.0,0.0
"X206561",0.06314711571282285,0.5679827056547958,0.3537376265786779,0.00022755717373990216,0.0,0.0,0.0,0.014904994879963591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206570",0.24241577936812708,0.36830162331995114,0.2620701693140164,0.000279280851806598,0.000279280851806598,0.0,0.11370221679176122,0.012602548437772735,0.0,0.0,0.0,0.0,0.00034910106475824753,0.0,0.0
"X206605",0.29871684063559606,0.412539059902932,0.28249451499235423,0.000997274117412406,0.005052855528222857,0.0,0.0001994548234824812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206609",0.09937949374569092,0.3697429331232148,0.5267408647690338,0.00019698611247907023,0.0,0.0,0.003939722249581405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215085",0.06424581005586592,0.3228584729981378,0.5863594040968343,0.0260707635009311,0.0,0.0,0.0,0.0004655493482309125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X214995",0.03725235649376305,0.4543658632951403,0.4932550657560535,0.011006378054975447,0.004007450471298753,0.0,0.0,0.0,0.00011288592876897895,0.0,0.0,0.0,0.0,0.0,0.0
"X215075",0.05336579921878963,0.48719119362857,0.45670369806726524,0.002384213463196875,0.000355095622178258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219633",0.014048059149722736,0.844547134935305,0.14041897720271104,0.0008009858287122613,0.00018484288354898336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219637",0.325,0.15,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219654",0.049273953460113006,0.6425663770581445,0.17692447900844524,0.01518925815663163,0.005285861838507808,0.0,0.09745428033294853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013305790145209308
"X219693",0.03234728234728235,0.9155844155844156,0.04846079846079846,0.003487253487253487,0.0,0.00012025012025012025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219668",0.4896,0.4912,0.0144,0.0,0.0032,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219675",0.03421163195486465,0.3433167276874137,0.20430946521817417,0.0018606326150891303,0.41594142008282814,0.0,0.00012004081387671808,0.0,0.00024008162775343615,0.0,0.0,0.0,0.0,0.0,0.0
"X219691",0.045377847414728216,0.82837170061468,0.11871760877425576,0.0033747137519585394,0.0031336627696757864,0.0,0.0,0.0010244666747016994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
