"","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Ruminococcaceae","Corynebacteriaceae","Peptococcaceae","Solibacteraceae_Subgroup_3_","Pseudomonadaceae","Sphingomonadaceae","Rhodospirillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","Family_XI","Leptotrichiaceae","Thermaceae","Coriobacteriaceae","Bacteroidaceae","Streptococcaceae","Peptostreptococcaceae","Rikenellaceae","Fusobacteriaceae","Bifidobacteriaceae","Porphyromonadaceae","NB1_n(order)","Actinomycetaceae","Defluviitaleaceae","Moraxellaceae","Oxalobacteraceae","Alicyclobacillaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Campylobacteraceae","Mollicutes_RF9(order)","Acidaminococcaceae","Bacteroidales_S24_7_group","SM2D12","Unknown_Family","Thermoanaerobacteraceae","Synergistaceae","vadinBE97","Neisseriaceae","Planctomycetaceae","Victivallaceae","env_OPS_17","Chloroplast(class)","Staphylococcaceae","Rhodospirillales_Incertae_Sedis","Pasteurellaceae","Xanthomonadaceae","Cytophagaceae","Enterobacteriaceae","Thermoplasmatales_Incertae_Sedis","Verrucomicrobiaceae","Carnobacteriaceae","Methanobacteriaceae","Aerococcaceae","uncultured","Bradyrhizobiaceae","Cellvibrionaceae"
"X206657",0.0,0.0033477363852232474,0.0,0.0012456693526412084,0.24905601619370157,0.0,0.001985285530771926,0.0,0.0003114173381603021,0.0,0.0034645178870333607,0.1450426252481607,0.00868075830121842,0.0002724901708902643,0.0008953248472108685,0.0002724901708902643,3.892716727003776e-05,0.0,7.785433454007552e-05,0.0003503445054303398,0.181439526645646,0.0016349410253415858,0.0007396161781307174,0.07575226750749348,0.0,0.0,0.011094242671960762,0.00015570866908015105,3.892716727003776e-05,7.785433454007552e-05,3.892716727003776e-05,0.0,0.0,0.0,0.01163922301374129,0.003970571061543852,0.0,0.0,0.004710187239674569,0.1418505975320176,0.0,0.0,0.00011678150181011328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.892716727003776e-05,0.0,0.0002724901708902643,0.0,0.0,0.00023356300362022657,0.0,0.1509206275059364,7.785433454007552e-05,0.0,3.892716727003776e-05,0.0,0.0,0.00011678150181011328
"X215003",0.000994530084535057,0.0002486325211337643,0.0069617105917454,0.0007458975634012929,0.2362008950770761,0.0,0.0,0.0,0.0002486325211337643,0.0,0.0,0.2006464445549478,0.018647439085032323,0.07434112381899552,0.006215813028344107,0.0,0.007458975634012929,0.0,0.0,0.00174042764793635,0.25932371954251615,0.024117354549975135,0.0022376926902038788,0.0034808552958727,0.001989060169070114,0.0007458975634012929,0.013426156141223273,0.0,0.0007458975634012929,0.0,0.0,0.00174042764793635,0.0,0.0,0.0002486325211337643,0.023868722028841372,0.0,0.0,0.004226752859273993,0.0,0.000994530084535057,0.0,0.0,0.0,0.0,0.012928891098955743,0.0,0.0,0.0,0.0,0.0,0.0,0.08254599701640974,0.0,0.0,0.01093983092988563,0.0,0.0,0.0012431626056688214,0.0,0.0,0.0,0.0007458975634012929,0.0
"X215007",0.0,0.0,0.0019233010840424291,0.0,0.17700198158293506,5.828185103158876e-05,0.0,0.0,0.0,0.0,0.0,0.15025061195943584,0.02546916890080429,0.01322998018417065,0.0018650192330108403,0.0,0.00029140925515794383,0.0009907914675370089,0.0,0.0006993822123790652,0.5871896491432568,0.0016318918288844855,0.00040797295722112137,0.0012822007226949528,0.0005828185103158877,0.0001748455530947663,0.004837393635621867,0.0,0.00011656370206317752,0.0,0.0,0.0,0.0,0.0,0.0,5.828185103158876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004662548082527101,0.0,0.0,0.0,0.0,5.828185103158876e-05,0.0,0.0068189765706958855,0.0,0.0,0.01742627345844504,0.0,0.0068189765706958855,0.0003496911061895326,0.0,0.0,0.0,0.0,0.0
"X215009",0.0,0.021478585849907642,0.04536277331500494,0.0007302719188968599,0.240001718286868,0.0,0.0035654452510846687,0.0,0.0036943167661841144,0.0,0.0,0.15834013488551912,0.01649555393272907,0.009235791915460286,0.005713303836075433,0.0008161862622964904,0.004037974139782637,0.0,0.0,0.001073929292495382,0.3385025129945444,0.032690407663559434,4.2957171699815284e-05,0.019287770093217062,0.00017182868679926113,0.00034365737359852227,0.0362558529146441,0.0,0.003436573735985223,0.0,0.0,0.0,0.0,0.00017182868679926113,0.013402637570342369,0.009235791915460286,0.0023626444434898405,0.007302719188968599,0.003909102624683191,0.0,0.0,0.0,4.2957171699815284e-05,0.00017182868679926113,0.0,0.0,0.0,0.00047252888869796813,0.0,4.2957171699815284e-05,0.0,0.00025774303019889173,0.007775248077666566,4.2957171699815284e-05,0.0,0.0011598436358950127,0.0,0.010524507066454745,0.0018471583830920572,0.0,0.0,0.0,0.0,0.0
"X215048",0.0007899674138441789,0.002962377801915671,0.005924755603831342,0.0013824429742273132,0.24656857904611434,0.0,0.0,0.0004937296336526119,0.0,0.0,0.031401204700306114,0.21023007800928212,0.04236200256739409,0.0016786807544188801,0.0069122148711365655,0.00019749185346104473,0.0027648859484546264,0.0014811889009578355,0.0,0.0008887133405747013,0.25101214574898784,0.010072084526513281,0.0012836970474967907,0.015700602350153057,0.008294657845363878,0.0007899674138441789,0.04443566702873507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004246074849412462,0.0013824429742273132,0.005727263750370297,0.0034561074355682828,0.05510022711563148,0.0,0.0,0.0,0.0,0.0,0.012738224548237385,0.0002962377801915671,0.0,0.0007899674138441789,0.0,0.002666140021724104,0.0,0.02330403870840328,0.0,0.0,0.002172410388071492,0.0,9.874592673052236e-05,0.0,0.0,0.0,0.00039498370692208945,0.0,0.0
"X215055",0.0,0.0004781257470714798,0.0,0.0002390628735357399,0.07130050203203442,0.0,0.0,0.0,0.00011953143676786995,0.0,0.0007769543389911546,0.4340186469041358,0.0036457088214200337,0.0019722687066698543,0.0133277551996175,0.00017929715515180492,0.00011953143676786995,0.0,0.0,0.0007769543389911546,0.32918957685871386,0.004661726033946928,0.0,0.0047812574707147976,0.010399234998804685,0.004542194597179058,0.006335166148697107,0.0,5.9765718383934975e-05,0.0,0.00011953143676786995,0.0,0.00017929715515180492,0.00011953143676786995,0.0016734401147501792,0.015180492469519484,0.0004183600286875448,0.0,0.009741812096581402,0.0,0.0,0.0005378914654554147,0.00011953143676786995,0.0,0.0,0.0006574229022232848,0.0,0.0004781257470714798,0.00017929715515180492,0.0,0.00011953143676786995,0.0,0.0008964857757590247,0.0,0.0,0.06179775280898876,0.0,0.020141047095386087,0.00035859431030360985,0.00035859431030360985,0.0,0.0,0.0,0.0
"X215057",3.7875918491023404e-05,0.016627528217559275,0.08844026967653966,0.001022649799257632,0.24202711915763958,0.0,0.0004166351034012575,0.0,7.575183698204681e-05,0.0,0.02211953639875767,0.22380880236345732,0.04101961972577835,0.0003408832664192107,0.010264373911067343,0.0003787591849102341,0.0,0.0,0.0,0.0005302628588743277,0.24600409059919703,0.0007575183698204682,0.0,0.011703658813726233,7.575183698204681e-05,0.00022725551094614045,0.03882281645329899,0.0,0.0,0.00026513142943716383,0.0,0.0,0.0,0.0,0.0,0.03295204908719036,0.0,0.0032194530717369898,0.006590409817438073,0.0,0.0,0.0,3.7875918491023404e-05,7.575183698204681e-05,0.00018937959245511705,3.7875918491023404e-05,0.0,0.00015150367396409362,0.0,0.0,0.00015150367396409362,0.0,0.00018937959245511705,0.0,0.0,0.0004923869403833043,7.575183698204681e-05,0.00988561472615711,0.0005681387773653511,0.0004166351034012575,0.0,0.0,0.0,0.0
"X215077",0.0,0.0014668133480014668,0.000275027502750275,0.0003667033370003667,0.15914924825815915,0.0,0.0,0.0,0.00018335166850018335,0.0,0.0,0.3691785845251192,0.019572790612394572,0.016455812247891454,0.016639163916391638,0.0,0.0,0.0001375137513751375,0.0,0.0012834616795012834,0.3714704803813715,0.0037587092042537587,0.0,0.007792445911257793,0.000275027502750275,0.002841950861752842,0.0,0.0,0.00018335166850018335,0.0,0.0,0.0,0.0,0.0,0.0001375137513751375,0.004308764209754309,0.0001375137513751375,0.0016043270993766044,0.0,9.167583425009168e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.167583425009168e-05,0.0,0.006004767143381004,0.0,0.0,0.0005042170883755042,0.0,0.015676567656765675,0.00041254125412541255,0.0,0.0,0.0,0.0,0.0
"X222171",0.0,0.0017696132131119913,0.0,0.00016853459172495156,0.15151259796073144,0.0,0.0,0.0,0.002275216988286846,0.0006741383668998062,0.0,0.10626106008258195,0.040532569309850844,0.00016853459172495156,0.0009269402544872335,0.0,0.00042133647931237887,0.0,0.0,0.0009269402544872335,0.5439453947922811,0.005477374231060925,0.0,0.05418387123957192,0.0,0.0006741383668998062,0.06952051908654251,0.0,0.00016853459172495156,0.0,0.0,0.0,0.0,8.426729586247578e-05,0.0,0.0069941855565854895,0.0,0.0,0.009943540911772141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005898710710373304,0.0,0.0,0.0,0.0,0.0006741383668998062,0.0,0.00042133647931237887,0.0016853459172495155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224845",4.6654847438648874e-05,0.0036390781002146122,4.6654847438648874e-05,0.001119716338527573,0.47550620509470937,0.0,0.0,0.0,0.0,0.0,0.0,0.19016515815993282,0.028132873005505273,9.330969487729775e-05,0.0008864421013343286,0.0,4.6654847438648874e-05,0.0,0.0,9.330969487729775e-05,0.25510870579453204,0.0013063357282821686,0.0006065130167024354,0.010497340673695997,0.0012596808808435197,0.0011663711859662218,0.003779042642530559,0.0,0.00013996454231594662,0.0,0.0,0.0,0.0,0.0,0.0,0.003032565083512177,0.0,0.0,0.013669870299524121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.330969487729775e-05,0.0,0.0018195390501073061,0.0,0.0,0.0077447046748157135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
