"","Acetobacteraceae","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","Moraxellaceae","Pseudomonadaceae","Flavobacteriaceae","Sphingobacteriaceae","Sphingomonadaceae","Lactobacillaceae","Rhodospirillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","Burkholderiaceae","Family_XI","Leptotrichiaceae","Thermaceae","Coriobacteriaceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Rikenellaceae","Fusobacteriaceae","Bifidobacteriaceae","Aerococcaceae","Actinomycetaceae","Defluviitaleaceae","Spirochaetaceae","Iamiaceae","Oxalobacteraceae","Cellulomonadaceae","Eubacteriaceae","Pseudonocardiaceae","Peptococcaceae","Micrococcaceae","Desulfovibrionaceae","Neisseriaceae","Blastocatellaceae_Subgroup_4_","Methylobacteriaceae","0319_6A21","Mollicutes_RF9(order)","Acidaminococcaceae","Mycobacteriaceae","Alicyclobacillaceae","Bacteroidales_S24_7_group","Desulfurellaceae","WCHA1_57(class)","Chitinophagaceae","Paenibacillaceae","Nocardioidaceae","Methanobacteriaceae","Bacteriovoracaceae","Planococcaceae","Rhizobiaceae","Cryomorphaceae","env_OPS_17","Intrasporangiaceae","Unknown_Family","Lentimicrobiaceae","Chloroplast(class)","Xanthomonadales_Incertae_Sedis","Geodermatophilaceae","Synergistaceae","Chthoniobacteraceae","Family_X","Staphylococcaceae","Campylobacteraceae","Acidimicrobiaceae","Pasteurellaceae","X35(order)","Haliangiaceae","mle1_27","PHOS_HE51","Xanthomonadaceae","Methylophilaceae","Cytophagaceae","Enterobacteriaceae","Bacillaceae","Leuconostocaceae","Microbacteriaceae","Verrucomicrobiaceae","Carnobacteriaceae","Clostridiaceae_1","Aeromonadaceae","Propionibacteriaceae","Erythrobacteraceae","NS9_marine_group","Lineage_IIb(order)","Polyangiaceae","Oligoflexaceae","Dermabacteraceae","Family_III"
"X206695",0.0,0.0,0.0,0.009316770186335404,0.0,0.0,0.08385093167701864,0.004140786749482402,0.017598343685300208,0.0010351966873706005,0.0,0.0,0.0,0.0,0.018633540372670808,0.16045548654244307,0.006211180124223602,0.019668737060041408,0.0,0.0,0.0,0.010351966873706004,0.0,0.0010351966873706005,0.004140786749482402,0.12836438923395446,0.0010351966873706005,0.028985507246376812,0.009316770186335404,0.0,0.009316770186335404,0.008281573498964804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009316770186335404,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051759834368530024,0.0,0.0,0.0,0.0,0.0,0.0010351966873706005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40062111801242234,0.0,0.0,0.0,0.0010351966873706005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.0,0.0,0.0,6.633279161553514e-05,3.316639580776757e-05,0.0,0.01757818977811681,0.0,3.316639580776757e-05,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.0,0.14576630957513848,6.633279161553514e-05,0.07429272660939935,0.020165168651122684,0.0,0.0,0.006102616828629233,6.633279161553514e-05,0.0,6.633279161553514e-05,0.20271301117707538,0.0,0.0025869788730058705,0.0038141355178932706,0.0,0.19193393253955093,0.0,3.316639580776757e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027528108520447083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013266558323107028,0.002852310039468011,0.0,0.054923551457663096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2466916520181752,0.0,0.0,0.0,0.0,0.00029849756226990815,0.026964279791715035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.01404643924812646,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.25979769851345264,0.0,0.1450100331708915,0.020926327859453704,0.0,0.0,0.0001228551537737008,0.0,0.0,8.190343584913388e-05,0.49563864204103364,0.00040951717924566934,0.004177075228305827,0.009828412301896065,8.190343584913388e-05,4.095171792456694e-05,0.019861583193414963,8.190343584913388e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,4.095171792456694e-05,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021335845038699373,0.0,4.095171792456694e-05,0.0,0.0,0.005733240509439371,0.002498054793398583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206758",0.0,0.0,0.0,0.0,7.15128544355848e-05,0.0,0.01909393213430114,0.0,0.0001072692816533772,0.0001072692816533772,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.30639682482926306,0.0,0.1571494976221976,0.015267994421997354,0.0,0.0,0.0017878213608896198,0.0,0.0,0.0005005899810490936,0.4378374512818679,0.0001430257088711696,0.007187041870776272,0.01194264669074266,7.15128544355848e-05,0.0002502949905245468,0.013337147352236565,0.0001430257088711696,0.0002502949905245468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,3.57564272177924e-05,0.0,0.00017878213608896198,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.02131083062180427,0.0,0.0,0.0,0.0,0.005685271927628991,0.0010011799620981872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.00048221174453493356,0.0,0.0,0.0,0.0,0.000589369909987141,0.0,0.00010715816545220746,0.0003214744963566224,0.0009644234890698671,0.0,0.0,0.0,0.0,0.0006965280754393485,0.0,0.0,0.0003214744963566224,0.0,5.357908272610373e-05,0.0006429489927132448,0.0,0.0,0.0,0.0017145306472353193,0.0,0.0003750535790827261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012858979854264896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009108444063437634,0.9914809258465495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.0,0.0016907270126154247,0.0,0.0007803355442840422,0.0,0.0,0.003251398101183509,0.0011705033164260631,0.0,0.010534529847834569,0.0013005592404734035,0.0,0.0,0.0,0.0,0.0013005592404734035,0.0,0.001040447392378723,0.0,0.0,0.0,0.0,0.0,0.0005202236961893615,0.0,0.0036415658733255298,0.0,0.0,0.00026011184809468074,0.0,0.005072181037846274,0.00013005592404734037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005202236961893615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002601118480946807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015606710885680843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013005592404734037,0.0,0.0,0.9644947327350761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.00015440835863914768,5.146945287971589e-05,0.0005661639816768747,0.0,0.0,0.3177209326264862,0.00030881671727829536,0.0,5.146945287971589e-05,0.0,0.0,0.0,0.00036028617015801124,0.0,0.30567708065263266,0.0033455144371815327,0.005249884193731021,0.02954346595295692,0.0,0.0,5.146945287971589e-05,0.00030881671727829536,0.0,0.0005146945287971588,0.3216326110453446,0.005146945287971589,0.0016984919450306244,5.146945287971589e-05,0.0,0.0008235112460754543,5.146945287971589e-05,0.0,0.0006691028874363066,0.0,0.0,0.0,0.00010293890575943178,0.0,0.0,0.0,0.0,0.0,0.001904369756549488,0.00030881671727829536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015440835863914768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010293890575943178,0.0,0.0,0.0,0.0,0.0,0.0,0.0005146945287971588,0.0,0.0,0.0013382057748726132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009779196047146018,0.0,0.0,0.0,0.0,0.0006176334345565907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.0,9.138679460817912e-05,0.0,0.0002284669865204478,4.569339730408956e-05,0.0,0.2621887137308659,0.0,0.0,4.569339730408956e-05,0.0,0.0,0.0,0.00018277358921635825,0.0,0.1334704135252456,0.0205620287868403,0.009367146447338359,0.006351382225268449,0.0,0.0,0.0006854009595613434,0.0,0.0,0.000731094356865433,0.5333333333333333,0.011606122915238748,0.0006397075622572539,0.0,0.0015992689056431345,0.0005026273703449851,9.138679460817912e-05,0.0,9.138679460817912e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.138679460817912e-05,0.0,0.014119259766963673,0.00013708019191226866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.138679460817912e-05,0.0,0.0,0.0017820424948594928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001964816084075851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.0,0.0,0.0,4.1017227235438884e-05,0.00012305168170631667,0.0,0.2761279737489746,0.0,0.0,4.1017227235438884e-05,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.22904019688269073,0.0,0.014520098441345365,0.013412633305988516,0.0,0.0,0.0008613617719442166,0.0,0.0,0.0002871205906480722,0.41111566858080395,0.0015176374077112388,0.006029532403609516,0.0,0.0,0.001435602953240361,0.0005742411812961444,4.1017227235438884e-05,0.00012305168170631667,0.0,0.0,0.0,8.203445447087777e-05,0.0,0.0,0.0,0.0,0.00012305168170631667,0.007916324856439705,0.0004922067268252667,0.0,0.0,0.0,0.0,8.203445447087777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016406890894175554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.203445447087777e-05,0.00012305168170631667,0.0,0.031214109926168992,0.0,0.0,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.0037735849056603774,0.0,0.0,0.0,0.00016406890894175554,0.00041017227235438887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.0,0.0,0.0,0.0,0.0,0.0,0.28750853959745654,0.0,5.255136896316149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.20778811288034052,0.0,0.008303116296179516,0.007146986178989963,0.0,0.0,0.0004204109517052919,0.0,0.0,0.00021020547585264595,0.4493667560039939,0.0012612328551158758,0.0022597088654159442,0.0,0.00010510273792632298,0.001996952020600137,0.0006831677965210993,0.00010510273792632298,5.255136896316149e-05,0.0,0.0,0.0,5.255136896316149e-05,0.0,0.0,0.0,0.0,0.00010510273792632298,0.00530768826527931,0.00036785958274213043,0.0,0.0,0.0,0.0,5.255136896316149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.255136896316149e-05,0.00010510273792632298,0.0,0.024488937936833256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001944400651636975,0.0,0.0,0.0,0.0,0.00026275684481580743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
