"","Burkholderiales","Clostridiales","Bacteroidales","Corynebacteriales","Solibacterales","Pseudomonadales","Sphingomonadales","Rhodospirillales","Selenomonadales","Erysipelotrichales","Bacillales","Fusobacteriales","Thermales","Coriobacteriales","Lactobacillales","Bifidobacteriales","NB1_n","Actinomycetales","Micrococcales","Gastranaerophilales","Desulfovibrionales","Campylobacterales","Mollicutes_RF9","Rickettsiales","Unknown_Order","Thermoanaerobacterales","Synergistales","Victivallales","Neisseriales","Planctomycetales","Sphingobacteriales","Chloroplast(class)","Pasteurellales","Xanthomonadales","Cytophagales","Enterobacteriales","Thermoplasmatales","Verrucomicrobiales","Methanobacteriales","Rhizobiales","Cellvibrionales"
"X206657",0.00868075830121842,0.4017672933940597,0.41013663435711784,0.0,0.0,0.0003503445054303398,0.0,0.0034645178870333607,0.0049826774105648335,0.0008953248472108685,7.785433454007552e-05,0.0,7.785433454007552e-05,0.0003503445054303398,0.001751722527151699,0.0,0.00015570866908015105,3.892716727003776e-05,0.0,0.01163922301374129,0.003970571061543852,0.0,0.0,0.0,0.0,0.00011678150181011328,0.0,0.0,0.0,0.0,0.0,0.0,0.0002724901708902643,0.0,0.0,0.00023356300362022657,0.0,0.1509206275059364,0.0,0.0,0.00011678150181011328
"X215003",0.02138239681750373,0.4400795624067628,0.28319244157135753,0.0,0.0,0.0002486325211337643,0.0,0.0,0.07856787667826952,0.006215813028344107,0.007458975634012929,0.001989060169070114,0.0,0.00174042764793635,0.02536051715564396,0.0007458975634012929,0.0,0.0007458975634012929,0.0,0.0002486325211337643,0.023868722028841372,0.0,0.0,0.000994530084535057,0.0,0.0,0.0,0.0,0.012928891098955743,0.0,0.0,0.0,0.08254599701640974,0.0,0.0,0.01093983092988563,0.0,0.0,0.0,0.0007458975634012929,0.0
"X215007",0.02546916890080429,0.327660566499592,0.595232544585616,5.828185103158876e-05,0.0,0.0,0.0,0.0,0.01322998018417065,0.0018650192330108403,0.0003496911061895326,0.0015736099778528966,0.0,0.0006993822123790652,0.0019815829350740177,0.0001748455530947663,0.0,0.00011656370206317752,0.0,0.0,5.828185103158876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004662548082527101,0.0,0.0,0.0,0.0068189765706958855,0.0,0.0,0.01742627345844504,0.0,0.0068189765706958855,0.0,0.0,0.0
"X215009",0.01649555393272907,0.4251471283130719,0.43940890931741056,0.0,0.0,0.0036943167661841144,0.0,0.00025774303019889173,0.013144894540143478,0.005713303836075433,0.0038661454529833757,0.00017182868679926113,0.0,0.001073929292495382,0.03453756604665149,0.00034365737359852227,0.0,0.003436573735985223,0.00017182868679926113,0.013402637570342369,0.009235791915460286,0.0023626444434898405,0.007302719188968599,0.0,0.0,4.2957171699815284e-05,0.00017182868679926113,0.00047252888869796813,0.0,0.0,0.0,4.2957171699815284e-05,0.007775248077666566,4.2957171699815284e-05,0.0,0.0011598436358950127,0.0,0.010524507066454745,0.0,0.0,0.0
"X215048",0.043151969981238276,0.4626246667324973,0.37217339784733877,0.0,0.0004937296336526119,0.0,0.0,0.031401204700306114,0.005134788189987163,0.0069122148711365655,0.00543102597017873,0.009775846746321714,0.0,0.0008887133405747013,0.010072084526513281,0.0007899674138441789,0.0,0.0,0.0,0.0,0.004246074849412462,0.0013824429742273132,0.005727263750370297,0.0,0.0,0.0,0.0,0.0,0.012738224548237385,0.0002962377801915671,0.0007899674138441789,0.0,0.02330403870840328,0.00039498370692208945,0.0,0.002172410388071492,0.0,9.874592673052236e-05,0.0,0.0,0.0
"X215055",0.0036457088214200337,0.5063351661486971,0.34030600047812576,0.0,0.0,0.0002390628735357399,0.0,0.0007769543389911546,0.011714080803251255,0.0133277551996175,0.00029882859191967485,0.010399234998804685,0.0,0.0007769543389911546,0.005020320344250538,0.004542194597179058,0.0,5.9765718383934975e-05,0.00011953143676786995,0.0016734401147501792,0.015180492469519484,0.0004183600286875448,0.0,0.0,0.0005378914654554147,0.00011953143676786995,0.0,0.0004781257470714798,0.0006574229022232848,0.0,0.00017929715515180492,0.0,0.0008964857757590247,0.0,0.0,0.06179775280898876,0.0,0.020141047095386087,0.00035859431030360985,0.0,0.0
"X215057",0.04105749564426937,0.48454662525566244,0.3849708355427619,0.0,0.0,7.575183698204681e-05,0.0,0.02211953639875767,0.006931293083857284,0.010264373911067343,0.00015150367396409362,7.575183698204681e-05,0.0,0.0005302628588743277,0.0013256571471858194,0.00022725551094614045,0.0,0.0,0.0,0.0,0.03295204908719036,0.0,0.0032194530717369898,0.0,0.0,3.7875918491023404e-05,7.575183698204681e-05,0.0003408832664192107,3.7875918491023404e-05,0.0,0.0,0.0,0.00018937959245511705,0.0,0.0,0.0004923869403833043,7.575183698204681e-05,0.00988561472615711,0.0004166351034012575,0.0,0.0
"X215077",0.019572790612394572,0.5301613494682802,0.37962962962962965,0.0,0.0,0.00018335166850018335,0.0,0.0,0.016455812247891454,0.016639163916391638,9.167583425009168e-05,0.00041254125412541255,0.0,0.0012834616795012834,0.004171250458379171,0.002841950861752842,0.0,0.00018335166850018335,0.0,0.0001375137513751375,0.004308764209754309,0.0001375137513751375,0.0016043270993766044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006004767143381004,0.0,0.0,0.0005042170883755042,0.0,0.015676567656765675,0.0,0.0,0.0
"X222171",0.040532569309850844,0.25971180584815035,0.6676497851183956,0.0,0.0,0.002275216988286846,0.0006741383668998062,0.0,0.010112075503497093,0.0009269402544872335,0.00042133647931237887,0.0,0.0,0.0009269402544872335,0.005477374231060925,0.0006741383668998062,0.0,0.00016853459172495156,8.426729586247578e-05,0.0,0.0069941855565854895,0.0,0.0,0.0,0.0,0.0,0.0,0.0005898710710373304,0.0,0.0,0.0,0.0,0.0006741383668998062,0.0,0.00042133647931237887,0.0016853459172495155,0.0,0.0,0.0,0.0,0.0
"X224845",0.02817952785294392,0.6710833255575255,0.26943174395819725,0.0,0.0,0.0,0.0,0.0,0.013763179994401417,0.0008864421013343286,9.330969487729775e-05,0.0012596808808435197,0.0,9.330969487729775e-05,0.0013063357282821686,0.0011663711859662218,0.0,0.00013996454231594662,0.0,0.0,0.003032565083512177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018195390501073061,0.0,0.0,0.0077447046748157135,0.0,0.0,0.0,0.0,0.0
