"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Fusobacteria","Deinococcus_Thermus","Cyanobacteria","Acidobacteria","Synergistetes","Tenericutes","Euryarchaeota","Verrucomicrobia"
"X206703",0.05930061710255657,0.39476932118718777,0.5416985013223626,0.001116661769027329,0.000999118424919189,0.0,0.0,0.0,0.0,0.0,0.0,0.002115780193946518
"X206752",0.014745786918023421,0.4705798343330477,0.4647957726363896,0.001570979720079977,0.00021422450728363326,0.0,0.0,0.0,0.0,0.001178234790059983,0.0,0.04691516709511568
"X206710",0.008620283574355833,0.5941871967591502,0.38640538885486836,0.010268971689669792,0.0005181591219558152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.007183552142680208,0.4732474609858806,0.519011642308645,0.0004954173891503591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192717364379489e-05
"X206725",0.01060389561555238,0.6680830262465218,0.30048131157403923,0.00026321726705271864,0.020568549296833872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206729",0.3132482568083147,0.5984738850151295,0.0668333114063939,0.009801341928693592,0.01124851993158795,0.0003946849098802789,0.0,0.0,0.0,0.0,0.0,0.0
"X206738",0.035247524752475244,0.6927864214992928,0.26512022630834514,0.0038472418670438473,0.0013578500707213579,0.00016973125884016973,0.0007920792079207921,0.0,0.0005657708628005657,0.0,0.0,0.00011315417256011315
"X206740",0.028959882941104742,0.5026216315083526,0.46561394951835144,0.0021948542860626753,0.0005487135715156688,0.0,6.0968174612852094e-05,0.0,0.0,0.0,0.0,0.0
"X206743",0.014904517931998137,0.2615065418977855,0.6739213278570522,0.0030909937756700683,0.0018630647414997672,8.468476097726214e-05,0.0,0.0003810814243976796,0.0,0.0,0.0009738747512385147,0.04327391285938095
"X224323",0.10208312266154312,0.4061077965416119,0.4900899989887754,0.0012640307412276266,0.0004044898371928405,0.0,0.0,0.0,0.0,0.0,0.0,5.056122964910506e-05
"X219652",0.014489218460337594,0.7031905551761147,0.2051419650697629,0.06498194945848375,4.878524734120402e-05,0.0,0.01068396916772368,0.00014635574202361205,0.0,0.0,0.0,0.0013172016782125086
"X219655",0.01985986953370379,0.8402512684223242,0.13679632761536603,0.0006764919062575501,0.0011597004107272288,0.0,0.0,0.0,0.0,0.0,0.0,0.0012563421116211645
"X219657",0.11427142936503527,0.867674018110105,0.016999055608021778,0.0010554969168379534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
