"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Acidobacteria","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Verrucomicrobia","Spirochaetae","Cyanobacteria","Synergistetes","Nitrospirae","Tenericutes","Planctomycetes","WSA2","Tectomicrobia","Lentisphaerae","Euryarchaeota","Parcubacteria","Elusimicrobia"
"X206615",0.0336950314106225,0.5922330097087378,0.36550542547115933,0.0030458785455929945,0.0,0.0,0.003997715591090805,0.0,0.0,0.0015229392727964973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206614",0.03250883392226148,0.6833922261484099,0.2826855123674912,0.0014134275618374558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206617",0.009765625,0.396484375,0.5592447916666666,0.008463541666666666,0.0,0.0,0.026041666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206619",0.013975155279503106,0.5192546583850932,0.4608695652173913,0.002484472049689441,0.0,0.0,0.0034161490683229812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206616",0.29906542056074764,0.6822429906542056,0.009345794392523364,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206618",0.08790523690773068,0.6620947630922693,0.24625935162094764,0.0,0.0,0.0,0.0024937655860349127,0.0,0.0,0.0012468827930174563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206645",0.062266500622665005,0.5828144458281445,0.3549190535491905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206646",0.013894183928495785,0.6392595416613717,0.34176303638751215,0.004659634854068708,0.0,0.0,0.00029652221798619053,0.0,0.0,4.236031685517008e-05,0.0,8.472063371034016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206648",0.11809914931064829,0.5272513933704899,0.3543561161630977,0.0002933411557641537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206647",0.07241334319140608,0.767842386813378,0.1590049145392076,0.00043491497412255904,0.0,0.0,0.0001739659896490236,0.0,0.0,0.0,0.0,0.0001304744922367677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206656",0.05011520737327189,0.6209677419354839,0.27419354838709675,0.0034562211981566822,0.0,0.0,0.0293778801843318,0.0034562211981566822,0.0,0.004032258064516129,0.0,0.0,0.0,0.010944700460829493,0.0,0.0,0.0,0.0,0.0,0.0,0.0034562211981566822,0.0
"X206655",0.046153846153846156,0.7401709401709402,0.2076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.00042735042735042735,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206659",0.07302087435998425,0.6305632138637258,0.27034265458842066,0.003308389129578574,0.0,0.0,0.008349743993698306,0.0,0.0,0.0009452540370224497,0.0,0.004017329657345412,0.009452540370224497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206660",0.06453555477492849,0.4752346063130426,0.4279118783559994,0.0005018316856526321,0.0,0.0,0.019671802077583178,0.0,0.0,0.008480955487529482,0.0,0.0011542128770010538,0.0023084257540021075,0.0,0.0,0.0,0.0,0.0,0.00020073267426105285,0.0,0.0,0.0
"X206667",0.03571768739879989,0.44347080674349937,0.5158586532050672,0.0008572244975711972,0.0,0.0,0.0036193923230783886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004762358319839985
"X206668",0.11822660098522167,0.3891625615763547,0.39080459770114945,0.10180623973727422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206671",0.12913216610833703,0.25150116933190064,0.6003413185007269,0.0,0.0,0.0,0.01902534605903546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206672",0.26724821570182394,0.22098863335976737,0.49325931800158607,0.00361265309718918,0.0,0.0,0.014714952859282756,0.0,0.0,0.0,0.0,0.0001762269803506917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206673",0.02722323049001815,0.4200055842524082,0.47410302945693145,0.0014658662571548234,0.0,0.0,0.0,0.0,0.0,0.07720228954348736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206681",0.05079559363525092,0.7815177478580171,0.14687882496940025,0.0208078335373317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206682",0.04645476772616137,0.8264058679706602,0.07334963325183375,0.029339853300733496,0.0,0.0,0.0,0.0,0.0,0.02444987775061125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206695",0.458592132505176,0.3136645962732919,0.13871635610766045,0.025879917184265012,0.0,0.0,0.009316770186335404,0.0010351966873706005,0.0,0.0010351966873706005,0.0,0.051759834368530024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.3073861563463898,0.2977679015621372,0.20277934396869093,6.633279161553514e-05,0.0,0.0,0.19200026533116646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.02149965191039764,0.4623448953683607,0.496171014374053,0.0199434866292641,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206758",0.021775664175635572,0.5257982622376373,0.4380519898451747,0.014123788751027997,0.0,0.0,0.0002502949905245468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.9924453493356193,0.0026253750535790827,0.004875696528075439,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.9768500455195734,0.010014306151645207,0.005722460658082976,0.0018207829366627649,0.0,0.0,0.005072181037846274,0.0005202236961893615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.008183643007874827,0.6615368778629883,0.3276030675793916,0.0015440835863914767,0.0,0.0,0.0011323279633537494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.03870230751656386,0.4131140050262737,0.5467671921407357,0.0009138679460817912,0.0,0.0,0.0005026273703449851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.043724364232977854,0.5408941755537325,0.4126743232157506,0.0011074651353568498,0.0,0.0,0.001435602953240361,0.0,0.0,0.00016406890894175554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.03231909191234432,0.5138998370907563,0.4507330915970361,0.0010510273792632297,0.0,0.0,0.001996952020600137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206720",0.057473784208410976,0.3607731374913223,0.5787204501443238,0.0011326683474003434,0.0,0.0,0.0018999598085425117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206721",0.060139980990235896,0.3277456147930528,0.6091333275727988,0.0006480601399809902,0.0,0.0,0.0023330165039315647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206723",0.8148148148148148,0.14814814814814814,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206724",0.5412560165024066,0.28772251508900604,0.1649858659943464,0.00045840018336007336,0.0,0.0,0.005386202154480862,0.0,0.0,0.0,0.00019100007640003057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206728",0.05856467050496901,0.6619971396090799,0.2499541604019216,0.0009167919615680809,0.0,0.0,0.02853056584399868,3.667167846272324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206727",0.12325218120166115,0.56135939345449,0.29028079399550427,0.0010667885853621365,0.0,0.0,0.024040842762982437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206734",0.10207356596708725,0.20760831943614108,0.6810043736823889,0.0008810295459551305,0.0,0.0,0.008432711368427676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206733",0.053234725831167964,0.22846292224665202,0.7124392031447798,0.0009327736691318542,0.0,0.0,0.004897061762942235,0.0,0.0,3.331334532613765e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206750",0.03617737660290852,0.43466580700623253,0.527150942044559,0.0017193208682570384,0.0,0.0,3.581918475535497e-05,0.0,0.0,0.00017909592377677485,0.0,0.0,3.581918475535497e-05,0.0,3.581918475535497e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206751",0.030207677784770296,0.4934314033983638,0.4758495909376967,0.00019666456891126495,0.0,0.0,0.0,0.0,0.0,0.00011799874134675897,0.0,0.0,0.0,0.0,3.933291378225299e-05,0.0,0.0,0.0,0.0,0.00015733165512901197,0.0,0.0
"X206756",0.11662552140972163,0.36626372690899806,0.5057461479526688,0.00046820464799523284,0.0,0.0,0.00021282029454328764,0.0,0.0,0.010683578786073039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206755",0.07325844512687894,0.5084047195732988,0.40835623080652983,0.0005252949733311783,0.0,0.0,0.00016162922256343946,0.0,0.0,0.00929368029739777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206767",0.1243224640798417,0.32642174997849094,0.5181966789985374,0.0014626172244687258,0.0,0.0,0.029596489718661276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206766",0.03363875988452366,0.4006945316095561,0.5490565248315971,0.0009623028325174679,0.0,0.0,0.01556420233463035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.367850717543199e-05
"X206769",0.7675276752767528,0.16974169741697417,0.014760147601476014,0.04797047970479705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206768",0.6562360303978543,0.25748770675011173,0.03933839964237819,0.02548055431381314,0.0,0.0,0.0116227089852481,0.0,0.0,0.0,0.0,0.001788109074653554,0.0,0.001788109074653554,0.0,0.0,0.004470272686633884,0.0,0.0,0.001788109074653554,0.0,0.0
"X224327",0.16151501959077058,0.3707879843273835,0.4570744449281672,0.010491946016543317,0.0,0.0,0.0,0.0,0.0,0.000130605137135394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224328",0.15422543286320375,0.35366739288307913,0.4832396896380384,0.008714596949891068,0.0,0.0,0.00015288766578756258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206536",0.26766763145200195,0.20049445248432224,0.48359864930053065,0.005909310178485287,0.0,0.0,0.04232995658465991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206538",0.283250113481616,0.22900590104403087,0.4417839310031775,0.004198819791193827,0.0,0.0,0.04005901044030867,0.0,0.0,0.0,0.0,0.0014752610077167498,0.0,0.00022696323195642307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206534",0.2704913788639776,0.2180914409982913,0.4746025992854554,0.011805519598198104,0.0,0.0,0.024284160927872417,0.0,0.0,0.00015533578418681717,0.0005695645420183296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215050",0.08803535010197144,0.4784160435078178,0.37754928619986405,0.0559993201903467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215023",0.24653776677594166,0.34274436341740816,0.40891148725496756,0.0015387703218037064,0.0,0.0,0.0002676122298789055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206548",0.4616991643454039,0.5120705663881151,0.012999071494893221,0.001160631383472609,0.0,0.0,0.011142061281337047,0.0,0.0,0.0,0.0,0.0006963788300835655,0.00023212627669452182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206547",0.42616806136680613,0.5552649930264993,0.00950139470013947,0.004096931659693166,0.0,0.0,0.004968619246861925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206562",0.058260005676979844,0.6094947487936417,0.28704229349985805,0.0004967357365881351,0.0,0.0,0.0,0.0,0.0,7.09622480840193e-05,0.0,0.0444933295486801,0.0,0.0,0.0,0.0,0.0,0.0,0.0001419244961680386,0.0,0.0,0.0
"X206561",0.06314711571282285,0.5679827056547958,0.3537376265786779,0.00022755717373990216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014904994879963591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206564",0.15465213746856663,0.5725062866722548,0.26823134953897737,0.0012573344509639564,0.0,0.0,0.003352891869237217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206563",0.20145488677695647,0.54839845124956,0.22445148421917166,0.011615628299894404,0.0028159098908834917,0.0022879267863428372,0.0004693183151472486,0.0,0.0,0.0029332394696703038,0.0,0.0005866478939340608,0.0,0.0,0.0,0.0045758535726856744,0.0,0.00041065352575384256,0.0,0.0,0.0,0.0
"X206570",0.24241577936812708,0.36830162331995114,0.2620701693140164,0.000279280851806598,0.0,0.0,0.000279280851806598,0.0,0.0,0.11370221679176122,0.0,0.012602548437772735,0.0,0.0,0.0,0.0,0.0,0.0,0.00034910106475824753,0.0,0.0,0.0
"X206569",0.21180124223602484,0.2945755693581781,0.3130848861283644,0.0006625258799171842,0.0,0.0,0.0,0.0,0.0,0.15768115942028985,0.0,0.022111801242236023,0.0,0.0,0.0,0.0,0.0,0.0,8.281573498964803e-05,0.0,0.0,0.0
"X215067",0.07981600363948844,0.47611585704898146,0.24318859626952433,0.0006065814082798362,0.0,0.0,0.0,0.0,0.0001010969013799727,0.17621189910529242,0.0,0.02395996562705353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206604",0.27532520741575334,0.4447403462050599,0.2636484687083888,0.010652463382157125,0.0,0.0,0.0,0.0,0.0,0.0036873911707466967,0.0,0.0012291303902488989,0.0,0.0,0.0,0.0,0.0,0.0,0.000716992727645191,0.0,0.0,0.0
"X206605",0.29871684063559606,0.412539059902932,0.28249451499235423,0.000997274117412406,0.0,0.0,0.005052855528222857,0.0,0.0,0.0001994548234824812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
