"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Acidobacteria","Verrucomicrobia","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Tenericutes","Spirochaetae","Cyanobacteria","Synergistetes","Nitrospirae","Planctomycetes","WSA2","Chlorobi","Tectomicrobia","Lentisphaerae","Euryarchaeota","Parcubacteria","Armatimonadetes","Gemmatimonadetes","Latescibacteria","Elusimicrobia"
"X206615",0.0336950314106225,0.5922330097087378,0.36550542547115933,0.0030458785455929945,0.0,0.0,0.0015229392727964973,0.003997715591090805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206619",0.013975155279503104,0.5192546583850932,0.4608695652173913,0.002484472049689441,0.0,0.0,0.0,0.0034161490683229812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206621",0.17647058823529413,0.14705882352941174,0.6764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206624",0.4189944134078213,0.13966480446927373,0.0935754189944134,0.276536312849162,0.0,0.008379888268156424,0.0,0.0,0.0,0.0,0.0,0.0,0.06284916201117319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206628",0.4090909090909091,0.5,0.07467532467532467,0.006493506493506494,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.035662720184810856,0.6527577245163153,0.2838579266531908,0.020069304071614207,0.0,0.0,0.0,0.004764654923476754,0.0010106843777071904,0.0,0.0008663008951775916,0.0,0.0010106843777071904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206636",0.08394160583941604,0.7554744525547444,0.1259124087591241,0.03467153284671533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206644",0.03231842150025514,0.47474060214322156,0.4922605885354652,0.00017009695526450075,0.0,0.0,0.0005102908657935023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206646",0.013894183928495783,0.6392595416613714,0.34176303638751215,0.0046596348540687066,0.0,0.0,4.236031685517008e-05,0.00029652221798619053,0.0,0.0,0.0,0.0,8.472063371034016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206648",0.1180991493106483,0.5272513933704897,0.3543561161630976,0.0002933411557641537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206656",0.050115207373271894,0.6209677419354838,0.2741935483870968,0.0034562211981566822,0.0,0.0,0.004032258064516129,0.0293778801843318,0.0034562211981566822,0.0,0.0,0.0,0.0,0.0,0.010944700460829493,0.0,0.0,0.0,0.0,0.0,0.0,0.0034562211981566822,0.0,0.0,0.0,0.0
"X206658",0.0640303623898139,0.5323212536728696,0.2808521057786484,0.005570519098922625,0.0,0.0004285014691478942,0.11545053868756121,0.0,0.0,0.0,0.0,0.0,0.001346718903036239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206660",0.06453555477492848,0.4752346063130427,0.4279118783559994,0.0005018316856526321,0.0,0.0,0.008480955487529482,0.019671802077583178,0.0,0.0,0.0,0.0,0.0011542128770010538,0.002308425754002108,0.0,0.0,0.0,0.0,0.0,0.00020073267426105285,0.0,0.0,0.0,0.0,0.0,0.0
"X206668",0.11822660098522167,0.38916256157635465,0.3908045977011494,0.10180623973727423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206670",0.030851701904333482,0.5339256260308892,0.36343529764582394,0.0006747638326585695,0.0,0.0,0.06923826660668767,0.00041235567551357026,0.0,0.0,0.0,0.0,0.0014619883040935672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206672",0.26724821570182394,0.22098863335976737,0.49325931800158607,0.003612653097189179,0.0,0.0,0.0,0.014714952859282756,0.0,0.0,0.0,0.0,0.0001762269803506917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206673",0.02722323049001815,0.42000558425240825,0.4741030294569315,0.0014658662571548236,0.0,0.0,0.07720228954348736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206676",0.06220839813374806,0.7357871090374979,0.19042681873163989,0.0038016243303957142,0.0,0.0,0.00017280110592707794,0.007257646448937273,0.0,0.0,0.0003456022118541559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206678",0.07953740854378098,0.5896860986547084,0.3215718668869483,0.008260561718196837,0.0,0.0,0.0009440641963653529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206682",0.046454767726161375,0.8264058679706602,0.07334963325183375,0.0293398533007335,0.0,0.0,0.02444987775061125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206684",0.05095345047782621,0.5259611573523585,0.4211917029990752,0.0018936891707403004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206695",0.45859213250517594,0.31366459627329196,0.13871635610766045,0.025879917184265012,0.0,0.0,0.0010351966873706005,0.009316770186335404,0.0010351966873706005,0.0,0.0,0.0,0.051759834368530024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.3073861563463898,0.2977679015621372,0.2027793439686909,6.633279161553514e-05,0.0,0.0,0.0,0.19200026533116646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.02149965191039764,0.4623448953683606,0.496171014374053,0.019943486629264096,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
