"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Fusobacteria","Deinococcus_Thermus","Cyanobacteria","Tenericutes","Synergistetes","Lentisphaerae","Chloroflexi","Acidobacteria","Verrucomicrobia","Euryarchaeota","Latescibacteria"
"X206658",0.06403036238981391,0.5323212536728698,0.2808521057786484,0.005570519098922625,0.0,0.0,0.0013467189030362389,0.0,0.0,0.0,0.0,0.0004285014691478942,0.11545053868756121,0.0,0.0
"X206704",0.08619106766754873,0.6176486471890695,0.2893017227412648,0.003564292271966301,0.0010800885672625155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022141815628881566,0.0,0.0
"X206753",0.020509849362688296,0.5658555426805717,0.3954036307454616,0.0020084974893781384,0.0002317497103128621,0.0,3.862495171881035e-05,0.0013518733101583623,0.0,0.0,0.0,0.0,0.014600231749710313,0.0,0.0
"X206711",0.003204711792473258,0.6494305140530943,0.341388419730631,0.005673206010999957,0.0002598414966870209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.330691611450349e-05,0.0,0.0
"X206719",0.01341364432483233,0.49019607843137253,0.49485240719381435,0.0015378700499807767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206726",0.006565191937777035,0.5595048925315714,0.42414485238772265,0.0007945136739984947,0.008990549468930334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206730",0.4897684437264405,0.23842218632202478,0.26696284329563813,0.002154011847065159,0.001884760366182014,0.0,0.0,0.0,0.0,0.0,0.0005385029617662897,0.0,0.0,0.0,0.00026925148088314486
"X206739",0.01907387822933978,0.7113234627587249,0.264050460794682,0.0051744976582565345,0.00030216044719746184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.554011179936546e-05,0.0,0.0
"X206741",0.029069767441860465,0.5406108989934051,0.42867060048594235,0.0014317945157931273,0.00013016313779937522,8.677542519958348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206742",0.014827628815025331,0.4127023353515384,0.5307055480044482,0.0018534536018781664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03805758062523168,0.0018534536018781664,0.0
"X224324",0.13231749311294766,0.2444042699724518,0.621986914600551,0.0010761019283746557,0.00021522038567493114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215004",0.16666666666666666,0.39880952380952384,0.3888888888888889,0.011904761904761904,0.03373015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215008",0.06579252726850777,0.24982594569505687,0.6797400789046183,0.002784868879090276,0.00023207240659085636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016245068461359943,0.0,0.0
"X215010",0.026716616552472025,0.5564154384581259,0.3688569034356977,0.00044363385419233993,0.0,0.0,0.013259722975304382,0.009168432986641691,0.0007393897569872332,0.00019717060186326217,0.0,0.0,0.024202691378715432,0.0,0.0
"X215049",0.11888111888111888,0.1958041958041958,0.32167832167832167,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215056",0.07496984701326731,0.6474957151018853,0.1806640005078398,0.0033644385196470515,0.01466387354789564,0.0,0.0013965593855138703,0.0,0.0,0.0,0.0,0.0,0.07655684631498762,0.0008887196089633721,0.0
"X215058",0.1132951132951133,0.6029211029211029,0.2588725088725089,0.000819000819000819,0.0,0.0,0.00034125034125034127,0.004231504231504231,0.00020475020475020476,0.0010237510237510238,0.0,0.0,0.017813267813267815,0.0004777504777504777,0.0
"X215074",0.039019103102560626,0.6221379216908278,0.3126947568080206,0.007722530822381791,0.0006774149844194553,0.0,0.0,0.005961251862891207,0.0,0.0,0.0,0.0,0.011787020728898524,0.0,0.0
"X222170",0.04532661827877352,0.2150792475188861,0.7378166197600355,0.0017775144423048438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224844",0.07188179840464104,0.634427121102248,0.2864394488759971,0.005348078317621465,0.0019035532994923859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219651",0.01201404458733449,0.7213926139007573,0.22733618173357587,0.027623841956089513,4.23029738990651e-05,0.0,0.011167985109353188,0.0,0.0,0.0,0.0,0.0,0.00042302973899065107,0.0,0.0
"X219656",0.042470648289943846,0.6507401735579377,0.30056151097498723,0.0022460438999489536,0.0010209290454313426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029606942317508935,0.0,0.0
"X219658",0.2955288985823337,0.6913849509269356,0.0,0.010905125408942203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021810250817884407,0.0,0.0
