"","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","uncultured","Pseudomonadaceae","Sphingomonadaceae","Lactobacillaceae","Rhodospirillaceae","Blastocatellaceae_Subgroup_4_","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Clostridiales_vadinBB60_group","WCHB1_32(class)","Family_XI","Sphingobacteriaceae","Coriobacteriaceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Flavobacteriaceae","Peptostreptococcaceae","Rikenellaceae","Opitutaceae","Fusobacteriaceae","Bifidobacteriaceae","Aerococcaceae","Actinomycetaceae","Caulobacteraceae","Defluviitaleaceae","Moraxellaceae","Hyphomicrobiaceae","Erysipelotrichaceae","Oxalobacteraceae","Cellulomonadaceae","Eubacteriaceae","Peptococcaceae","Cytophagaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Subgroup_6(class)","Methylobacteriaceae","Micromonosporaceae","Acidaminococcaceae","Anaerolineaceae","Thermoanaerobacteraceae","vadinBE97","Paenibacillaceae","Nocardioidaceae","Microbacteriaceae","Neisseriaceae","Chitinophagaceae","JG30_KF_CM45(order)","Rhizobiaceae","Victivallaceae","Intrasporangiaceae","Chloroplast(class)","Geodermatophilaceae","Staphylococcaceae","Bacteroidetes_vadinHA17(class)","Pasteurellaceae","Enterobacteriaceae","Carnobacteriaceae","Solirubrobacteraceae","Bacillaceae","Roseiarcaceae","Verrucomicrobiaceae","uncultured(class)","Clostridiaceae_1","Methanobacteriaceae","SC_I_84(order)","Gemmatimonadaceae","Sanguibacteraceae","Cellvibrionaceae","Elev_16S_1332","Pseudonocardiaceae"
"X206713",0.0,0.0,0.00038153376573826786,9.538344143456696e-05,0.0,0.07220526516596719,0.00038153376573826786,0.0,4.769172071728348e-05,4.769172071728348e-05,4.769172071728348e-05,0.0,0.0,0.1838992750858451,0.0013353681800839375,0.0047691720717283476,0.0,0.0,0.00038153376573826786,0.0,0.0006676840900419688,0.619276993513926,0.09109118657001145,0.00109690957649752,9.538344143456696e-05,0.001478443342235788,0.00038153376573826786,0.0,0.005436856161770317,0.001001526135062953,0.0,0.00019076688286913393,0.0,0.0,0.0,0.0,0.0015261350629530714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011827546737886304,0.0,0.0,0.0,0.0016692102251049219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.538344143456696e-05,0.0005246089278901182,4.769172071728348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206732",0.0,0.0192694728728643,0.45214747569905367,0.001798484134800668,0.0,0.23054853766111422,8.564210165717467e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.12088382648910204,0.014816083586691217,4.282105082858733e-05,0.0014987367790005566,0.0,4.282105082858733e-05,0.0,0.00042821050828587335,0.0781055967113433,0.016100715111548838,0.0,4.282105082858733e-05,0.0011133473215432707,0.015629683552434378,0.0,0.00034256840662869867,0.014473515180062518,0.0,0.0,0.0,8.564210165717467e-05,0.0,0.0,0.00449621033700167,0.000256926304971524,0.0,0.0,0.0,0.0,8.564210165717467e-05,0.0,0.006166231319316576,0.0,0.0,0.0,0.01494454673917698,0.0,4.282105082858733e-05,0.00017128420331434933,0.0,0.0,0.0,4.282105082858733e-05,0.0,0.0,0.0,0.0025264419988866526,0.0,0.0,0.0,4.282105082858733e-05,0.0,0.002697726202201002,0.0008564210165717467,8.564210165717467e-05,0.0,4.282105082858733e-05,0.0,0.0,0.0,0.0,8.564210165717467e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X206754",0.0003781433163168841,0.003923236906787673,0.006617508035545471,0.0006144828890149366,0.0,0.12039137833238797,0.00018907165815844205,0.0,0.0,0.0,0.0,0.00184344866704481,0.00018907165815844205,0.3539894119871431,0.020514274910190963,0.003970504821327283,0.00014180374361883155,0.0,0.00014180374361883155,0.0,0.00557761391567404,0.34878994138778596,0.006333900548307809,0.004017772735866894,0.0,4.726791453961051e-05,0.001370769521648705,4.726791453961051e-05,0.026611835885800718,0.009500850822461713,0.0,0.00014180374361883155,0.0,0.0,4.726791453961051e-05,0.0,0.03393836263944035,0.0,0.0008980903762525998,0.0,0.0,0.00018907165815844205,4.726791453961051e-05,0.0,0.007515598411798071,0.0003781433163168841,0.0006617508035545471,0.0016543770088863678,0.005199470599357156,0.0,0.0,0.0,0.0,0.0006144828890149366,4.726791453961051e-05,0.0007090187180941577,0.0,0.00018907165815844205,0.0003781433163168841,0.0,0.0,4.726791453961051e-05,0.00047267914539610514,0.0,0.0,0.027982605407449422,0.0024579315560597464,0.0,4.726791453961051e-05,0.0,0.0,0.00023633957269805257,0.0,0.00033087540177727357,0.00033087540177727357,0.0,0.0,0.0,0.0,9.453582907922102e-05,0.00018907165815844205
"X206762",0.0002993295019157088,0.0,0.0009578544061302681,0.0,0.0,0.06100335249042146,0.0026939655172413795,0.0,0.002334770114942529,0.0,0.0,0.0,0.0,0.39972461685823757,0.00035919540229885057,0.02490421455938697,0.0,0.0,0.0022150383141762453,0.0,0.0028735632183908046,0.3442887931034483,0.009578544061302681,0.0013170498084291188,0.0028735632183908046,0.0009578544061302681,0.0013170498084291188,0.0,0.0006585249042145594,0.003232758620689655,0.0,0.00023946360153256704,0.0,0.0,0.0,0.0,0.01532567049808429,0.0006585249042145594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010775862068965517,5.986590038314176e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06633141762452108,0.054477969348659006,0.00023946360153256704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206770",0.0,0.0,0.03778946964169131,0.0001920196628134721,0.0006528668535658052,0.18053688697722647,0.00011521179768808326,0.0,0.0,0.0001536157302507777,0.0,0.0,3.840393256269442e-05,0.35454510541879486,0.0172049617880871,0.008640884826606245,0.0,7.680786512538885e-05,3.840393256269442e-05,0.0001920196628134721,0.000998502246630055,0.3489765351972042,0.017781020776527517,0.0011137140443181382,0.0001536157302507777,0.0004992511233150275,0.0003840393256269442,0.0,7.680786512538885e-05,0.0028802949422020814,0.0,7.680786512538885e-05,0.0,0.0,7.680786512538885e-05,0.0001920196628134721,0.008717692691731633,0.00011521179768808326,0.00011521179768808326,0.0,0.0,0.0004224432581896386,0.0,0.0,0.006912707861284995,0.0,0.0,0.0,0.0034563539306424976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001536157302507777,0.0,7.680786512538885e-05,0.0,0.0,7.680786512538885e-05,0.0,0.0018817926955720266,0.004109220784208303,7.680786512538885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026882752793886094,0.0,7.680786512538885e-05,0.0001536157302507777,0.0,0.0
"X224330",0.0,0.00047824007651841227,0.07996174079387852,0.00033476805356288854,0.0,0.17230989956958392,0.006025824964131995,0.0,0.00028694404591104734,0.0,0.0,0.0,0.0,0.18077474892395984,0.05561932089909134,0.019320899091343855,0.0,0.0,0.00028694404591104734,0.0,0.0024868483978957435,0.40344332855093257,0.012242945958871354,0.0015303682448589192,0.004973696795791487,0.002821616451458632,0.0040650406504065045,0.0,0.0,0.00234337637494022,0.0,9.564801530368245e-05,0.0,0.0,0.0,0.0,0.005691056910569106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038737446197991392,0.00014347202295552367,0.0,0.0,0.0012434241989478718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005738880918220947,9.564801530368245e-05,0.0024868483978957435,0.0001912960306073649,0.0,0.0,0.0,0.0001912960306073649,0.00028694404591104734,0.03543758967001435,0.0,0.0,0.0003825920612147298,0.0,0.0,0.0,0.0
"X224326",3.348737525952716e-05,0.001908780389793048,0.062286517982720516,0.0008036970062286518,0.0,0.24010448061080972,0.0,0.0,6.697475051905432e-05,0.0,0.0,0.0,0.0,0.11502913401647578,0.031444645368696005,0.022537003549661778,6.697475051905432e-05,0.0,0.0009376465072667605,0.0,0.0003348737525952716,0.24372111713883865,0.14148416047150225,0.00043533587837385306,0.0,0.00023441162681669012,0.03700354966177751,0.0,0.00043533587837385306,6.697475051905432e-05,0.0,0.0,0.0,0.0,3.348737525952716e-05,0.0,0.002545040519724064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048154845623200056,0.0,0.0,0.0,0.00023441162681669012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013394950103810864,0.0,0.00020092425155716296,0.049695264885138306,3.348737525952716e-05,0.0,0.0,0.0,3.348737525952716e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219643",5.2999788000847996e-05,0.03662285350858597,5.2999788000847996e-05,0.002172991308034768,0.0,0.3269026923892304,0.00010599957600169599,0.00021199915200339198,0.00015899936400254398,0.0007949968200127199,0.0022259910960356157,0.0,0.0,0.32292770828916684,0.004398982404070384,0.03354886580453678,0.001642993428026288,0.0,0.000370998516005936,0.0,0.000582997668009328,0.1339304642781429,0.00291498834004664,0.001642993428026288,0.00015899936400254398,0.0012719949120203519,0.08628365486538053,0.0,0.000370998516005936,0.014150943396226415,0.00010599957600169599,0.00010599957600169599,0.00010599957600169599,0.0,5.2999788000847996e-05,0.0,0.0049819800720797116,0.0,0.0,0.0,0.0,0.0,0.0,0.013355946576213695,0.0038159847360610556,0.0,0.00015899936400254398,0.0,0.0,0.0,0.00021199915200339198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010599957600169599,0.0,0.00031799872800508796,0.00010599957600169599,0.0,0.00015899936400254398,0.00052999788000848,0.0008479966080135679,0.0,0.0,0.00015899936400254398,0.000688997244011024,0.0,0.000688997244011024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219646",0.0,0.0,4.7296977723123494e-05,0.0,0.0,0.4096864210376957,0.0,0.0,4.7296977723123494e-05,0.0,0.0,0.0,0.0,0.25114695170978574,0.015608002648630753,0.00033107884406186446,0.0,0.0,0.00033107884406186446,0.0,0.00014189093316937048,0.3118289741285532,0.00014189093316937048,0.00042567279950811145,0.0,0.0007567516435699759,0.0,0.0,4.7296977723123494e-05,0.0045405098614198555,0.0,9.459395544624699e-05,0.0,0.0,4.7296977723123494e-05,0.0,0.003168897507449274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7296977723123494e-05,0.0,0.00014189093316937048,0.00014189093316937048,0.0,0.0,0.0,0.0,0.0,0.0,0.0012770183985243344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219669",4.1732743510558384e-05,0.0056756531174359404,0.007887488523495535,0.0025456973541440613,0.0,0.5303397045321759,0.0003338619480844671,0.0,0.0002503964610633503,0.0,0.0,0.0025456973541440613,0.0,0.28837325765795846,0.000542525665637259,0.04699106919288874,0.00012519823053167516,0.0,0.00041732743510558383,0.0,0.0006677238961689341,0.04866037893331108,0.015357649611885486,0.0030882230197813204,0.0,0.005341791169351473,0.016860028378265588,0.0,0.0,0.0007094566396794926,4.1732743510558384e-05,0.00016693097404223354,0.0,0.00012519823053167516,4.1732743510558384e-05,0.0,0.001836240714464569,0.0,0.0,4.1732743510558384e-05,0.0007929221267006093,0.0,0.000542525665637259,0.0003338619480844671,0.009640263750938986,0.0,0.0,0.0,0.00851347967615391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1732743510558384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00012519823053167516,0.0,0.00016693097404223354,0.00016693097404223354,0.0006677238961689341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
