"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Acidobacteria","Fusobacteria","Deinococcus_Thermus","Tenericutes","Cyanobacteria","Synergistetes","Verrucomicrobia","Lentisphaerae","Euryarchaeota","Planctomycetes","Chloroflexi","Latescibacteria"
"X206657",0.017089026431546576,0.4095916540153373,0.41013663435711784,0.0003892716727003776,0.0,0.0,7.785433454007552e-05,0.00015570866908015105,0.01163922301374129,0.0,0.1509206275059364,0.0,0.0,0.0,0.0,0.0
"X206658",0.06403036238981391,0.5323212536728698,0.2808521057786484,0.005570519098922625,0.0004285014691478942,0.0,0.0,0.0,0.0013467189030362389,0.0,0.11545053868756121,0.0,0.0,0.0,0.0,0.0
"X206704",0.08619106766754873,0.6176486471890695,0.2893017227412648,0.003564292271966301,0.0,0.0010800885672625155,0.0,0.0,0.0,0.0,0.0022141815628881566,0.0,0.0,0.0,0.0,0.0
"X206703",0.05930061710255657,0.39476932118718777,0.5416985013223626,0.001116661769027329,0.0,0.000999118424919189,0.0,0.0,0.0,0.0,0.002115780193946518,0.0,0.0,0.0,0.0,0.0
"X206753",0.020509849362688296,0.5658555426805717,0.3954036307454616,0.0020084974893781384,0.0,0.0002317497103128621,0.0,0.0013518733101583623,3.862495171881035e-05,0.0,0.014600231749710313,0.0,0.0,0.0,0.0,0.0
"X206752",0.014745786918023421,0.4705798343330477,0.4647957726363896,0.001570979720079977,0.0,0.00021422450728363326,0.0,0.001178234790059983,0.0,0.0,0.04691516709511568,0.0,0.0,0.0,0.0,0.0
"X206711",0.003204711792473258,0.6494305140530943,0.341388419730631,0.005673206010999957,0.0,0.0002598414966870209,0.0,0.0,0.0,0.0,4.330691611450349e-05,0.0,0.0,0.0,0.0,0.0
"X206710",0.008620283574355833,0.5941871967591502,0.38640538885486836,0.010268971689669792,0.0,0.0005181591219558152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206719",0.01341364432483233,0.49019607843137253,0.49485240719381435,0.0015378700499807767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.007183552142680208,0.4732474609858806,0.519011642308645,0.0004954173891503591,0.0,0.0,0.0,0.0,0.0,0.0,6.192717364379489e-05,0.0,0.0,0.0,0.0,0.0
"X206726",0.006565191937777035,0.5595048925315714,0.42414485238772265,0.0007945136739984947,0.0,0.008990549468930334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206725",0.01060389561555238,0.6680830262465218,0.30048131157403923,0.00026321726705271864,0.0,0.020568549296833872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206730",0.4897684437264405,0.23842218632202478,0.26696284329563813,0.002154011847065159,0.0,0.001884760366182014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005385029617662897,0.00026925148088314486
"X206729",0.3132482568083147,0.5984738850151295,0.0668333114063939,0.009801341928693592,0.0,0.01124851993158795,0.0003946849098802789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206739",0.01907387822933978,0.7113234627587249,0.264050460794682,0.0051744976582565345,0.0,0.00030216044719746184,0.0,0.0,0.0,0.0,7.554011179936546e-05,0.0,0.0,0.0,0.0,0.0
"X206738",0.035247524752475244,0.6927864214992928,0.26512022630834514,0.0038472418670438473,0.0,0.0013578500707213579,0.00016973125884016973,0.0,0.0007920792079207921,0.0005657708628005657,0.00011315417256011315,0.0,0.0,0.0,0.0,0.0
"X206741",0.029069767441860465,0.5406108989934051,0.42867060048594235,0.0014317945157931273,0.0,0.00013016313779937522,8.677542519958348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206740",0.028959882941104742,0.5026216315083526,0.46561394951835144,0.0021948542860626753,0.0,0.0005487135715156688,0.0,0.0,6.0968174612852094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206742",0.014827628815025331,0.4127023353515384,0.5307055480044482,0.0018534536018781664,0.0,0.0,0.0,0.0,0.0,0.0,0.03805758062523168,0.0,0.0018534536018781664,0.0,0.0,0.0
